,Name,Price,Menu,Menu_link_re,Menu_link_ye,Review_new,Star_new,Address_new,OpenTime_new,Amentities
11,LoveMama,"Moderate, 11 to 30","Rendang Nasi Lemak,Pad Thai,Roti Canai Planta,Mixed Seafood Curry Laksa,Mee Goreng,Thai Red Curry,Uncle Plump's Dumpling,BBQ Char Siu Bun,Grilled Pork Vermicelli Noodles,Malaysian Chicken Satay Shish Kebab",,https://www.yelp.com/menu/lovemama-new-york,5610,4.5,"174 2nd Ave\nNew York, NY 10003\n12th St & 11th St\nEast Village\n",Mon\n11:00 AM - 10:00 PM\nTue\n11:00 AM - 10:00 PM\nWed\n11:00 AM - 10:00 PM\nThu\n11:00 AM - 10:00 PM\nFri\n11:00 AM - 10:00 PM\nSat\n11:00 AM - 10:00 PM\nSun\n11:00 AM - 10:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required', 'COVID-19 updates'"
12,AlMar,"Moderate, 11 to 30","Egg in a Cloud,Tiramisu,Grilled Octopus,Rigatoni,Rabbit,Spaghetti,Tuscan Kale Salad,Caprese,String Bean Salad,Ricotta Crostini",,https://www.yelp.com/menu/almar-brooklyn-2,461,4,"111 Front St\nBrooklyn, NY 11201\nWashington St & Adams St\nDUMBO\n",Mon\n8:00 AM - 10:30 PM\nTue\n8:00 AM - 10:30 PM\nWed\n8:00 AM - 10:30 PM\nThu\n8:00 AM - 10:30 PM\nFri\n8:00 AM - 11:00 PM\nSat\n9:00 AM - 11:00 PM\nSun\n10:00 AM - 5:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Many Vegetarian Options'"
13,Thai Villa,"Moderate, 11 to 30","Pad Thai,Red Curry,Green Curry,Papaya Salad,Panang Curry,Spicy Chicken Wings,Pineapple Fried Rice,Basil Fried Rice,Satay,Chicken Satay",,https://www.yelp.com/menu/thai-villa-new-york-2,3870,4.5,"5 E 19th St\nG Floor\nNew York, NY 10003\nBroadway & 5th Ave\nFlatiron\n",Mon\n11:30 AM - 3:15 PM\n4:30 PM - 10:15 PM\nTue\n11:30 AM - 3:15 PM\n4:30 PM - 10:15 PM\nWed\n11:30 AM - 3:15 PM\n4:30 PM - 10:15 PM\nThu\n11:30 AM - 3:15 PM\n4:30 PM - 10:15 PM\nFri\n11:30 AM - 3:15 PM\n4:30 PM - 10:30 PM\nSat\n11:30 AM - 3:15 PM\n4:30 PM - 10:30 PM\nSun\n11:30 AM - 3:15 PM\n4:30 PM - 10:15 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Proof of vaccination required', 'COVID-19 updates'"
14,Pastis,"Spendy, 31 to 60","Steak Sandwich,Lobster Salad,Hanger Steak,Lamb Steak,Half Roasted Chicken",,https://www.yelp.com/menu/pastis-new-york-3,312,4,"52 Gansevoort St\nNew York, NY 10014\nWashington St & Greenwich St\nWest Village\n",Mon\n11:00 AM - 10:00 PM\nTue\n11:00 AM - 10:00 PM\nWed\n11:00 AM - 10:00 PM\nThu\n11:00 AM - 11:00 PM\nFri\n11:00 AM - 11:00 PM\nSat\n10:00 AM - 11:00 PM\nSun\n10:00 AM - 10:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required'"
15,Anytime,"Moderate, 11 to 30","Popcorn Chicken,Bossam,Bulgogi",,https://www.yelp.com/menu/anytime-new-york,1685,4.5,"23 W 32nd St\nFl 3\nNew York, NY 10001\nBroadway & 5th Ave\nKoreatown, Midtown West\n",Mon\n5:00 PM - 1:00 AM\nTue\n5:00 PM - 1:00 AM\nWed\n5:00 PM - 1:00 AM\nThu\n5:00 PM - 1:00 AM\nFri\n5:00 PM - 3:30 AM\nSat\n5:00 PM - 3:30 AM\nSun\n5:00 PM - 1:00 AM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required', 'About the Business', 'COVID-19 updates'"
16,YUBU,"Cheap, Under 10","Spicy Tuna,Spicy Chicken,Beef Bulgogi,Crabmeat,Pork Jaeyook,Mushroom Bulgogi Flavor,Myungran Mayo",https://www.yubu.nyc/menu,https://www.yelp.com/menu/yubu-new-york,104,4.5,"86 E 7th St\nNew York, NY 10003\n2nd Ave & 1st Ave\nEast Village\n",Mon\nClosed\nTue\nClosed\nWed\n11:00 AM - 3:00 PM\n4:00 PM - 8:00 PM\nThu\n11:00 AM - 3:00 PM\n4:00 PM - 8:00 PM\nFri\n11:00 AM - 3:00 PM\n4:00 PM - 9:00 PM\nSat\n11:00 AM - 3:00 PM\n4:30 PM - 9:00 PM\nSun\n11:00 AM - 3:00 PM\n4:30 PM - 8:00 PM\n,"'Offers Delivery', 'Offers Takeout', 'All staff fully vaccinated', 'Masks required', 'About the Business'"
17,Boqueria Soho,"Moderate, 11 to 30","Patatas Bravas,Bacon Wrapped Dates,Pan Con Tomate,Fried Quail Eggs,Quail Egg Toast,Lamb Skewers,Lamb Meatballs,Gambas Al Ajillo,Croquetas Cremosas,Seafood Paella",,https://www.yelp.com/menu/boqueria-soho-new-york-2,1108,4,"171 Spring St\nNew York, NY 10012\nThompson St & Broadway\nSouth Village\n",Mon\n12:00 PM - 10:00 PM\nTue\n12:00 PM - 10:00 PM\nWed\n12:00 PM - 10:00 PM\nThu\n12:00 PM - 10:00 PM\nFri\n12:00 PM - 10:00 PM\nSat\n12:00 PM - 10:00 PM\nSun\n12:00 PM - 10:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Vegan Options', 'About the Business', 'COVID-19 updates'"
18,JeJu Noodle Bar,"Moderate, 11 to 30","Toro Ssam Bap,Chicken Wings,Gochu Ramyun,Fish Coop Ramyun,Fried Chicken,Pork Belly,Prix Fixe,Veal Broth Ramyun,Wagyu Ramyun,Ssam Buns",https://qcg-media.s3.amazonaws.com/media/uploads/84442/2021/09/20210910_344918_Jejudinnernosquid.pdf,,687,4.5,"679 Greenwich St\nNew York, NY 10014\nGreenwich Mews & Christopher St\nWest Village\n",Mon\nClosed\nTue\nClosed\nWed\n5:00 PM - 10:00 PM\nThu\n5:00 PM - 10:00 PM\nFri\n5:00 PM - 10:00 PM\nSat\n5:00 PM - 10:00 PM\nSun\n5:00 PM - 10:00 PM\n,"'Takes Reservations', 'No Delivery', 'No Takeout', 'Proof of vaccination required'"
19,Benemon,"Moderate, 11 to 30","Una Tama Don,Kara Age Fried Chicken,Tuna Tataki,Tsukimi Tori Don,Katsu Don,Unagi Don,Salty Pork Belly,Pork Katsu Curry,Beef Tataki,Black Miso Chicken",http://benemon.nyc/s/Dinner-Menu.pdf,,622,4.5,"108 E 4th St\nNew York, NY 10003\n1st Ave & 12th St\nEast Village\n",Mon\nClosed\nTue\n5:00 PM - 10:00 PM\nWed\n5:00 PM - 10:00 PM\nThu\n5:00 PM - 10:00 PM\nFri\n5:00 PM - 11:00 PM\nSat\n5:00 PM - 11:00 PM\nSun\n5:00 PM - 10:00 PM\n,"'Offers Delivery', 'Offers Takeout', 'No Reservations', 'Masks required', 'COVID-19 updates'"
20,Malibu Farm,"Moderate, 11 to 30","Fish Tacos,Avocado Huarache,Fried Egg Sandwich,Cauliflower Crust Pizza,Spaghetti Squash Lasagna,Hot Skillet Brioche Coconut French Toast,Impossible Burger,Fava Bean Hummus,Tofu Coconut Curry",https://www.malibufarm.nyc/#menus,https://www.yelp.com/menu/malibu-farm-new-york-2,202,4,"89 S St\nNew York, NY 10038\nSouth Street Seaport\n",Mon\n12:00 PM - 10:00 PM\nTue\n12:00 PM - 10:00 PM\nWed\n12:00 PM - 10:00 PM\nThu\n12:00 PM - 10:00 PM\nFri\n12:00 PM - 10:00 PM\nSat\n11:00 AM - 3:00 PM\n4:00 PM - 10:00 PM\nSun\n11:00 AM - 3:00 PM\n4:00 PM - 10:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required'"
21,The Wild Son,"Moderate, 11 to 30","Peppers & Egg Sandwich,Burrata,Cheeseburger",http://thewildsonnyc.com/#menu-section,https://www.yelp.com/menu/the-wild-son-new-york,539,4.5,"132 First Ave\nNew York, NY 10009\nEast Village\n",Mon\nClosed\nTue\n5:00 PM - 11:00 PM\nWed\n5:00 PM - 12:00 AM\nThu\n5:00 PM - 12:00 AM\nFri\n11:00 AM - 2:00 AM\nSat\n11:00 AM - 2:00 AM\nSun\n11:00 AM - 5:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Vegan Options', 'About the Business'"
22,Time Out Market New York,"Moderate, 11 to 30","Fish Cheeks Oysters,Clinton Street,Honey Chicken Biscuit Sandwich,Felice's Pasta,Chicken Karaage,East River,Fried Chicken Sandwich,Nashville Hot Chicken,Crispy Rice Trio,Buffalo Chicken Sandwich",http://benemon.nyc/s/Dinner-Menu.pdf,,306,3.5,"55 Water St\nBrooklyn, NY 11201\nDUMBO\n",Mon\n9:00 AM - 10:00 PM\nTue\n9:00 AM - 10:00 PM\nWed\n9:00 AM - 10:00 PM\nThu\n9:00 AM - 10:00 PM\nFri\n9:00 AM - 11:00 PM\nSat\n8:00 AM - 11:00 PM\nSun\n8:00 AM - 10:00 PM\n,"'Offers Takeout', 'No Reservations', 'No Delivery', 'Masks required', 'COVID-19 updates'"
23,Kong Sihk Tong 港食堂,"Cheap, Under 10","Hong Kong Style Curry Flat Rice Noodles,Fried Chicken Wings,Golden Lava French Toast,Salty Duck Egg with Jumbo Shrimps Fried Rice,Special Ovaltine French Toast,Curry Fish Fillet Over Rice,Classic Soy Sauce Pan Fried Noodles,Imitation Shark Fin Soup,Xo Sauce Fried Instant Noodle with Pork Chops,Tom Yum Fried Instant Noodles with Seafood",,https://www.yelp.com/menu/kong-sihk-tong-%E6%B8%AF%E9%A3%9F%E5%A0%82-new-york,379,4,"65 Bayard St\nNew York, NY 10013\nMott St & Elizabeth St\nChinatown\n",Mon\n8:00 AM - 9:00 PM\nTue\n8:00 AM - 9:00 PM\nWed\n8:00 AM - 9:00 PM\nThu\n8:00 AM - 9:00 PM\nFri\n8:00 AM - 10:00 PM\nSat\n8:00 AM - 10:00 PM\nSun\n8:00 AM - 9:00 PM\n,"'No Reservations', 'Masks required', 'Vegan Options', 'Many Vegetarian Options'"
24,La Cabra NYC,,,,,12,4.5,"152 2nd Ave\nNew York, NY 10003\n9th St & 10th St\nEast Village\n",,"'Classy', 'Moderate Noise', 'Free Wi-Fi'"
25,Leland Eating and Drinking House,,"Whole Fried Fish,Smoked Pollock Fritters,Focaccia,Spicy Eggplant,Cinnamon Bun,Panzanella,Charred Lemon Skillet Mussels,Duck Toast,Mushroom Toast,Scup",,,23,4.5,"755 Dean St\nBrooklyn, NY 11238\nVanderbilt Ave & Underhill Ave\nProspect Heights\n",Mon\nClosed\nTue\nClosed\nWed\n1:00 PM - 4:00 PM\n5:00 PM - 10:00 PM\nThu\n1:00 PM - 4:00 PM\n5:00 PM - 10:00 PM\nFri\n1:00 PM - 4:00 PM\n5:00 PM - 11:00 PM\nSat\n10:00 AM - 4:00 PM\n5:00 PM - 11:00 PM\nSun\n10:00 AM - 4:00 PM\n5:00 PM - 10:30 PM\n,"'Takes Reservations', 'Offers Takeout', 'Outdoor Seating', 'Romantic'"
26,Win Son,"Moderate, 11 to 30","Lu Rou Fan,Pan-griddled Pork Buns,Beef Roll,Fried Eggplant,Big Chicken Bun,Marinated Cucumbers,Oyster Omelette,Zhajiangmian,Sesame Peanut Noodles,Fried Mantou",,https://www.yelp.com/menu/win-son-brooklyn-4,569,4,"159 Graham Ave\nBrooklyn, NY 11206\nMeserole St & Johnson Ave\nEast Williamsburg\n",Mon\nClosed\nTue\n5:30 PM - 11:00 PM\nWed\n5:30 PM - 11:00 PM\nThu\n5:30 PM - 11:00 PM\nFri\n5:30 PM - 11:00 PM\nSat\n11:00 AM - 3:00 PM\n5:30 PM - 11:00 PM\nSun\n11:00 AM - 3:00 PM\n5:30 PM - 10:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'All staff fully vaccinated'"
27,Pig and Khao,"Spendy, 31 to 60","Sisig,Khao Soi,Pork Belly Adobo,Grilled Pork Jowl,Green Papaya Salad,BBQ Baby Back Ribs,Chili Pan Mee,Half Hainanese Duck,Baby Octopus Paksiw",https://www.pigandkhao.com/menu,https://www.yelp.com/menu/pig-and-khao-new-york,1698,4,"68 Clinton St\nNew York, NY 10002\nStanton St & Rivington St\nLower East Side\n",Mon\nClosed\nTue\nClosed\nWed\n5:00 PM - 10:00 PM\nThu\n5:00 PM - 10:00 PM\nFri\n5:00 PM - 11:00 PM\nSat\n11:00 AM - 3:15 PM\n5:00 PM - 11:00 PM\nSun\n11:00 AM - 3:15 PM\n5:00 PM - 10:00 PM\n,"'Offers Delivery', 'Offers Takeout', 'No Reservations', 'Staff wears masks'"
28,Juliana's,"Moderate, 11 to 30","Margherita Pizza,White Pizza,Brookies,Brookie Bridge,No.1,Calzone",https://julianaspizza.com/menus/,https://www.yelp.com/menu/julianas-brooklyn-3,2352,4.5,"19 Old Fulton St\nBrooklyn, NY 11201\nDUMBO\n",Mon\n11:30 AM - 3:15 PM\n4:00 PM - 9:00 PM\nTue\n11:30 AM - 3:15 PM\n4:00 PM - 9:00 PM\nWed\n11:30 AM - 3:15 PM\n4:00 PM - 9:00 PM\nThu\n11:30 AM - 3:15 PM\n4:00 PM - 9:00 PM\nFri\n11:30 AM - 3:15 PM\n4:00 PM - 9:00 PM\nSat\n11:30 AM - 3:15 PM\n4:00 PM - 9:00 PM\nSun\n11:30 AM - 3:15 PM\n4:00 PM - 9:00 PM\n,"'Offers Takeout', 'No Reservations', 'No Delivery', 'Masks required'"
29,Fishmarket Restaurant,"Moderate, 11 to 30","Drunken Fish Soup,Crispy Fried Rice,Mama's Curried Chicken,Crispy Ginger Wings,Spicy Curry Chicken,Yummy Noodles,Fish Tacos,Spicy Shrimp Noodle Soup,Oysta Crispy Rice,Fish and Chips",,https://www.yelp.com/menu/win-son-brooklyn-4,581,4.5,"111 South St\nNew York, NY 10038\nSouth Street Seaport\n",Mon\n6:00 PM - 11:30 PM\nTue\n6:00 PM - 11:30 PM\nWed\n6:00 PM - 11:30 PM\nThu\n6:00 PM - 11:30 PM\nFri\n6:00 PM - 11:30 PM\nSat\n1:00 PM - 11:30 PM\nSun\n1:00 PM - 11:30 PM\n,"'Takes Reservations', 'Many Vegetarian Options', 'Accepts Credit Cards', 'Accepts Android Pay'"
30,Atrium Dumbo,"Moderate, 11 to 30","Black Angus Burger,Hand-cut Beef Tartare,Roasted Chicken for Two,Branzino,Seafood Platter,Salmon Crudo",http://www.atriumdumbo.com/menu/,https://www.yelp.com/menu/atrium-dumbo-brooklyn,671,4,"15 Main St\nBrooklyn, NY 11201\nWater St & Plymouth St\nDUMBO\n",Mon\nClosed\nTue\nClosed\nWed\n5:00 PM - 10:00 PM\nThu\n5:00 PM - 10:00 PM\nFri\n5:00 PM - 11:00 PM\nSat\n5:00 PM - 11:00 PM\nSun\n5:00 PM - 10:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Staff wears masks', 'About the Business'"
31,The Tyger,,"Singaporean Chili Crab Fried Rice,Phnom Penh Fried Chicken,Housemade Egg Noodles,Grilled King Oyster Mushroom Skewers,Crispy Lamb Ribs,'banh Xeo',Steak Tartare,Nasi Goreng,Morning Glory,Slow Cooked Beef Short Rib",http://www.thetygernyc.com/dinnermenu,https://www.yelp.com/menu/the-tyger-new-york-2,232,4,"1 Howard St\nNew York, NY 10013\nLafayette St & Centre St\nLittle Italy, SoHo\n",Mon\n5:00 PM - 12:00 AM\nTue\n5:00 PM - 12:00 AM\nWed\n5:00 PM - 12:00 AM\nThu\n5:00 PM - 12:00 AM\nFri\n5:00 PM - 12:00 AM\nSat\n12:00 PM - 12:00 AM\nSun\n12:00 PM - 12:00 AM\n,"'Takes Reservations', 'Offers Delivery', 'Vegan Options', 'Accepts Credit Cards'"
32,Olmsted,"Spendy, 31 to 60","Carrot Crepe,Guinea Hen Roasted and Confit,Thai Beet Salad,Dry Rubbed Scallops,English Pea Falafel",,https://www.yelp.com/menu/olmsted-brooklyn,423,4,"659 Vanderbilt Ave\nBrooklyn, NY 11238\nProspect Pl & Sterling Pl\nProspect Heights\n",Mon\nClosed\nTue\nClosed\nWed\n5:00 PM - 9:30 PM\nThu\n5:00 PM - 9:30 PM\nFri\n5:00 PM - 9:30 PM\nSat\n11:30 AM - 2:30 PM\n5:00 PM - 9:30 PM\nSun\n5:00 PM - 8:45 PM\n,"'Takes Reservations', 'Masks required', 'Staff wears masks', 'Many Vegetarian Options'"
33,Ugly Baby,"Moderate, 11 to 30","Khao Soi Nuer,Tue Ka Ko,Kao Tod Nam Klook,Khoong Muk Kai Kem,Kang Hoh,Kua Kling,Pla Tod Kamin,Laab Ped Udon,Kanom Jean Kiew Warn Gai,Tom Som Pla Kra Pong",,https://www.yelp.com/menu/ugly-baby-brooklyn-3,362,4.5,"407 Smith St\nBrooklyn, NY 11231\nLuquer St & 5th St\nCarroll Gardens, Gowanus\n",Mon\n5:00 PM - 10:30 PM\nTue\n5:00 PM - 10:30 PM\nWed\n5:00 PM - 10:30 PM\nThu\n5:00 PM - 10:30 PM\nFri\n5:00 PM - 10:30 PM\nSat\n12:00 PM - 4:00 PM\n5:00 PM - 10:30 PM\nSun\n12:00 PM - 4:00 PM\n5:00 PM - 10:30 PM\n,"'Offers Delivery', 'Offers Takeout', 'No Reservations', 'Staff wears masks'"
34,Fish Cheeks,"Moderate, 11 to 30","Coconut Crab Curry,Crab Fried Rice,Steamed Fish,Grilled Pork Cheeks,Zabb Wings,Tiger Prawn Karee,Somtum Corn Salad,Fried Fish,Hat Yai Fried Chicken,Pad Thai",https://static1.squarespace.com/static/573295d77da24f10a9dd9447/t/60f30ea99dfa584dc9db5df1/1626541739567/Dinner_Cocktail_Wine_07.16.21-compressed.pdf,,883,4.5,"55 Bond St\nNew York, NY 10012\nBowery & Bond St\nNoHo\n",Mon\n12:00 PM - 3:15 PM\n5:00 PM - 10:15 PM\nTue\n12:00 PM - 3:15 PM\n5:00 PM - 10:15 PM\nWed\n12:00 PM - 3:15 PM\n5:00 PM - 10:15 PM\nThu\n12:00 PM - 3:15 PM\n5:00 PM - 10:15 PM\nFri\n12:00 PM - 3:15 PM\n5:00 PM - 11:15 PM\nSat\n12:00 PM - 3:15 PM\n5:00 PM - 11:15 PM\nSun\n12:00 PM - 3:15 PM\n5:00 PM - 10:15 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required'"
35,Nura,,,https://static1.squarespace.com/static/573295d77da24f10a9dd9447/t/60f30ea99dfa584dc9db5df1/1626541739567/Dinner_Cocktail_Wine_07.16.21-compressed.pdf,,3,5,"46 Norman Ave\nBrooklyn, NY 11222\nGuernsey St & Dobbin St\nGreenpoint\n",Mon\nClosed\nTue\nClosed\nWed\n5:00 PM - 10:00 PM\nThu\n5:00 PM - 10:00 PM\nFri\n5:00 PM - 10:00 PM\nSat\n5:00 PM - 10:00 PM\nSun\n5:00 PM - 10:00 PM\n,"'No Delivery', 'No Takeout', 'Proof of vaccination required', 'All staff fully vaccinated', 'COVID-19 updates'"
