olive-oil-cake,"Sift the dry ingredients into a large bowl, pouring any bits of grain or other ingredients left in the sifter back into the bowl. Set aside."
olive-oil-cake,"In another large bowl, whisk the eggs thoroughly. Add the olive oil, milk and rosemary and whisk again. Using a spatula, fold the wet ingredients into the dry, gently mixing just until combined. Stir in 2/3 of the chocolate. Pour the batter into the pan, spreading it evenly and smoothing the top. Sprinkle with the remaining chocolate and run a fork along the length of the chocolate so that the batter envelops it just a bit. Sprinkle with the second sugar."
olive-oil-cake,"Bake for about 40 minutes, or until the top is domed, golden brown, and a skewer inserted into the center comes out clean. My cake, in the alternate pan, took closer to 50 minutes. Also, just when my cake was nearly finished baking, I decided I wanted a bit more color on top. I finished it under the broiler for a minute - which caramelized the sugar on top as well and gave it a bit of crunch. Don't walk away from the cake while it is under the broiler."
olive-oil-cake,"The cake can be eaten warm or cool from the pan, or cooled, wrapped tightly in plastic, and kept for 2-3 days."
Recipe     ,Instruction
citrus-rice,"Heat the olive oil in a medium saucepan. Stir in half of the celery, the instant onions, and salt. Saute for just a minute or two.Â "
citrus-rice,"Add the rice and stir until well coated. Saute for another minute or two before adding the orange juice and water. Bring to a simmer, cover, reduce the heat and cook (covered) for 45-50 minutes, or until the rice is tender.Â "
citrus-rice,"Remove from heat, stir and fluff in the carrots and remaining celery, cover again, and allow to sit for another 10 minutes. Season with more salt if needed, and serve topped with the cashews, scallions, and some orange zest."
Recipe      ,Instruction
salsa-recipe,"Heat oven to 400F degrees. Now gently tossed the tomatoes, onions, garlic, and salt with the olive oil in a large bowl. After they are nicely coated arrange in a single layer, tomatoes cut-side facing up, across a parchment-lined baking sheet. Roast in the oven for 25-30 minutes or until the tomatoes start to collapse and the onions begin to caramelize a bit. Remove from the oven."
salsa-recipe,"Puree the chiles (both the guajillo and chipotles) with the roasted garlic and two roasted tomato halves. Chop the remaining tomatoes by hand (once they've cooled a bit). Chop and add the onions as well. Season with salt generously, and stir in the cilantro."
Recipe               ,Instruction
blistered-green-beans,"Crush most of the walnuts and garlic and salt together in a mortar and pestle. Alternately, you can pulse with a hand blender, but leave a bit of texture & chunkiness."
blistered-green-beans,"Gradually work a cup of the hot water into the walnut mixture, adding more until your sauce is thick as heavy cream. Err on the thick side.  Stir in half the cheese, a couple tablespoons of lemon juice, and more freshly ground black pepper than you think youâ€™d want. Taste and add a bit more salt to the sauce if needed. If itâ€™s all in balance, this should taste Awesome. Capital A awesome. Set aside."
blistered-green-beans,"Now youâ€™re going to cook the green beans in your largest skillet. Warm the olive oil over medium-high heat. Stir in the the green beans, until theyâ€™re coated with the oil, and sprinkle with salt.  Dial the heat to high. Cook, uncovered, for 7-10 minutes stirring when you start to get some browning and blistering where the beans touch the pan. You really want to get some color here."
blistered-green-beans,"Transfer the green beans to a serving plater and spoon the walnut sauce over them. Youâ€™ll have plenty of sauce left over in case you want to toss some pasta into the mix as well. Serve topped with remaining walnuts, lemon zest, cheese, and chives/chive flowers if you have them."
Recipe        ,Instruction
gnocchi-recipe,"Fill a large pot with cold water. Salt the water, then cut potatoes in half and place them in the pot. Bring the water to a boil and cook the potatoes until tender throughout, this takes roughly 40-50 minutes."
gnocchi-recipe,"Remove the potatoes from the water one at a time with a slotted spoon. Place each potato piece on a large cutting board and peel it before moving on to the next potato. Save the potato water. Also, peel each potato as soon as possible after removing from the water (without burning yourself) - I've found a paring knife comes in handy here. Be mindful that you want to work relatively quickly so you can mash the potatoes when they are hot. To do this you can either push the potatoes through a ricer, or do what I do, deconstruct them one at a time on the cutting board using the tines of a fork - mash isn't quite the right term here. I run the fork down the sides of the peeled potato creating a nice, fluffy potato base to work with (see photo). Don't over-mash - you are simply after an even consistency with no noticeable lumps."
gnocchi-recipe,Let the potatoes cool spread out across the cutting board - ten or fifteen minutes. Long enough that the egg won't cook when it is incorporated into the potatoes.
gnocchi-recipe,"When you're ready, pull the potatoes into a soft mound. Drizzle with the beaten egg and sprinkle 3/4 cup of the flour across the top. I've found that a metal spatula or large pastry scraper are both great utensils to use to incorporate the flour and eggs into the potatoes with the egg incorporated throughout - you can see the hint of yellow from the yolk. Scrape underneath and fold, scrape and fold until the mixture is a light crumble. Very gently, with a feathery touch knead the dough. This is also the point you can add more flour (a sprinkle at a time) if the dough is too tacky. I usually end up using most of the remaining 1/4 cup flour, but it all depends on the potatoes, the flour, the time of year, the weather, and whether the gnocchi gods are smiling on you. The dough should be moist but not sticky. It should feel almost billowy.Â "
gnocchi-recipe,"Cut it into 8 pieces. Now gently roll each 1/8th of dough into a snake-shaped log, roughly the thickness of your thumb. Use a knife to cut pieces every 3/4-inch (see photo). Dust with a bit more flour."
gnocchi-recipe,"To shape the gnocchi hold a fork in one hand (see photo) and place a gnocchi pillow against the tines of the fork (or gnocchi board), cut ends out. With confidence and an assertive (but very light) touch, use your thumb and press in and down the length of the fork. The gnocchi should curl into a slight ""C"" shape, their backs will capture the impression of the tines as tiny ridges (good for catching sauce later). Set each gnocchi aside, dust with a bit more flour if needed, until you are ready to boil them. This step takes some practice, don't get discouraged, once you get the hang of it it's easy."
gnocchi-recipe,"Now that you're on the final stretch, either reheat your potato water or start with a fresh pot (salted), and bring to a boil. Cook the gnocchi in batches by dropping them into the boiling water roughly twenty at a time. They will let you know when they are cooked because they will pop back up to the top. Fish them out of the water a few at a time with a slotted spoon ten seconds or so after they've surfaced. Have a large platter ready with a generous swirl of whatever sauce or favorite pesto you'll be serving on the gnocchi. Place the gnocchi on the platter. Continue cooking in batches until all the gnocchi are done. Gently toss with more sauce or pesto (don't overdo it, it should be a light dressing), and serve immediately, family-style with a drizzle of good olive oil on top."
Recipe    ,Instruction
corn-salad,"Melt the butter in a large skillet over medium heat. Add the corn, sprinkle with a couple pinches of salt and stir well, you want all the corn to be coated. Cook for just a minute, until the corn looses its raw edge, stir in half the thyme, and then transfer the corn to a large serving bowl.Â "
corn-salad,"Just before you're ready to serve, add most of the coconut flakes, most of the almonds, the rest of the thyme, red onions, and citrus juice. Stir well. Taste, season with more salt, to taste, and serve topped with the remaining coconut and almonds (and another jolt of juice if needed!)."
Recipe                           ,Instruction
pasta-with-smashed-zucchini-cream,"Bring a large pot of water to a boil. Salt the water well, and boil pasta per package instructions. Drain, reserving some pasta water, and set aside."
pasta-with-smashed-zucchini-cream,"In the meantime, slice the zucchini in half lengthwise and use a spoon to remove most of the seeds. Cut into 1/4-inch pieces. Heat the oil in a large skillet over medium heat. Add the garlic and cook until fragrant, a minute or so. Stir in the chopped zucchini and 1 1/3 cups water, cover, and simmer until the zucchini absorbs most of the water and softens, roughly 8-10  minutes. Remove from heat, and carefully, with a fork or (even better) a potato masher, smash the zucchini until creamy."
pasta-with-smashed-zucchini-cream,"Transfer the zucchini to a large serving bowl. Add most of the cheese and most of the basil, and lots of pepper. Stir in the pasta, and a splash of the pasta water if you want to thin it out at all. Taste, and add salt if needed. Finish by topping with lots of toasted almonds, and the remaining cheese and basil."
Recipe                                  ,Instruction
how-to-make-a-great-vegetarian-poke-bowl,"Assemble each poke bowl with the rice as the base, topped with the watermelon poke, tofu, sprouts, asparagus, and avocado. Finish with a good drizzle of soy sauce, sesame seeds, scallions, and watermelon radish."
Recipe         ,Instruction
frittata-recipe,"Preheat your oven to 450F degrees. Make the cilantro chile sauce by pureeing the garlic, olive oil, lemon juice, cilantro, chile, cumin, and salt until very smooth. Taste and add more salt if needed. Set aside."
frittata-recipe,"In a medium bowl whisk the eggs with a small pinch of salt. Set aside. In a (small) 8 1/2-inch ovenproof nonstick skillet over medium-high heat add the olive oil, onion, and another pinch of salt. Saute, stirring constantly, until the onion starts to brown, 5 - 7 minutes. Add the potatoes and zucchini (or cauliflower), cover, and cook for another 3 minutes or so. Slide everything out of the skillet onto a plate and set aside. If you are using purple potatoes you might want to pre-cook them separately so they don't stain the rest of the ingredients."
frittata-recipe,"Turn down the heat a bit. Using the same skillet, add the eggs and cook over medium-low heat for about 5 minutes or until the eggs are just set and there isn't a lot of liquid running around the pan. To facilitate this, run a spatula underneath the sides of the frittata and tilt the pan so the uncooked eggs run to the underside and cook. Drizzle the eggs with a few tablespoons of the cilantro chile sauce, now sprinkle the potato onion mixture over the top."
frittata-recipe,"Place the skillet in the oven and bake for about 9 minutes, or until well set and puffy. Add a crumble of goat cheese and the pumpkin seeds across the top of the frittata in the final 2 minutes of baking. Remove from oven (be careful the handle is hot!), cut into wedges and serve."
Recipe        ,Instruction
homemade-pasta,"Start by making a mound of the flour directly on the countertop. Make a deep crater in the top and add the eggs, olive oil, and salt. Use a fork to break up the eggs without breaking through the walls of your mound. You want to try to keep the eggs contained, but donâ€™t worry if they break through - use a spatula or bench scraper to scoop them back in. Work more and more flour into the eggs a bit at a time. Drizzle 2 tablespoons of cold water across the mixture and keep mixing until youâ€™ve got a dough coming together. If youâ€™re exclusively using all-purpose flour, you might not need more water. Some of the other flours are a bit thirstier, you can drizzle a bit more at time as you go if you feel like your dough is too dry. It should look like the pictures up above, you want to avoid having a wet dough. Iâ€™ve found that a spray bottle is my favorite way to add water to pasta dough without adding too much. Use your hands to bring the dough together into a ball and knead for 7-10 minutes, until the dough is silky smooth and elastic."
homemade-pasta,"Form the dough into a ball and place in a plastic bag, alternately, wrap in plastic wrap. Allow to rest for 30 minutes at room temperature. Use Immediately, or refrigerate for up to a day. You might be able to get away with two days, but the dough will start to discolor."
homemade-pasta,"At this point either roll the pasta out thinly with a rolling pin or use a pasta maker (see notes and photos above). If your dough was refrigerated, bring it to room temperature before rolling out. After cutting the pasta into your desired shape you can cook the pasta immediately, dry it, refrigerate it, or freeze it at this point (see above)."
homemade-pasta,"When youâ€™re ready to cook the pasta do it in a large pot of well-salted water. Depending on the thickness and shape of your pasta, this might just take a minute or so. Reserve a cup or two of the pasta water (in case you want to use it for a sauce), drain the pasta, and use immediately."
homemade-pasta,"Add the flour, eggs, olive oil, salt and 2 tablespoons of water to the bowl of a stand mixer. Use the dough hook to knead on medium speed for 6-7 minutes. Youâ€™ll likely need to add more water, a small splash at a time, just until the dough comes together, you want to avoid an over-wet or sticky dough. See the pictures up above. Mix until the dough looks silky, elastic, and smooth."
homemade-pasta,"Form the dough into a ball and place in a plastic bag, alternately, wrap in plastic wrap. Allow to rest for 30 minutes at room temperature. Use Immediately, or refrigerate for up to a day. You might be able to get away with two days, but the dough will start to discolor."
homemade-pasta,"Roll out your pasta dough (see above). I typically choose 3 or 4 on the Atlas for fettuccine noodles, or the equivalent on the Kitchen Aid attachment. You'll need a well-floured surface if you're rolling the dough out by hand, and you'll want to keep the pasta nicely floured as well, so it doesn't stick to itself. To cut the dough into fettuccine by hand, loosely fold/roll the dough into a cylinder, and cut with a sharp knife. Alternately, you can run the dough though the fettuccine cutter on your pasta machine."
homemade-pasta,"When youâ€™re ready to cook the pasta do it in a large pot of well-salted water. Depending on the thickness and shape of your pasta, this might just take a minute or so. Reserve a cup or two of the pasta water (in case you want to use it for a sauce), drain the pasta, and use immediately."
Recipe        ,Instruction
peace-love-dip,"Combine all the ingredients in a high-speed blender and blend until silky smooth. You might need to scrape down the sides a couple of times along the way. If you need to add another tablespoon or so of water to get the thickness you like, go for it. Or use more orange juice. Serve topped with any/all of the suggested toppings. Enjoy!"
Recipe           ,Instruction
carrot-bean-salad,"Combine the olive oil, lemon juice, salt and shallots in a small bowl. Stir and set aside."
carrot-bean-salad,"In your largest skillet over medium high heat, toss the carrots with a splash of olive oil or a spoonful of ghee (I love ghee with carrots). Let them cook in a single layer - they'll give off a bit of water at first. Keep cooking, tossing gently every three or four minutes until the carrots are deeply browned. All told, about twelve minutes."
carrot-bean-salad,"Add the beans and dill to the skillet and cook for another five minutes, or until the beans as well heated through. If you are using beans that weren't canned you can allow them to brown a bit as well (just cook a bit longer, and stir less frequently) - they can handle this in a way that most canned beans can't. If you need to add a bit more olive oil to the pan - do so."
carrot-bean-salad,"Place the contents of the skillet in a large mixing bowl, sprinkle with the brown sugar and pour the 3/4 of the lemon-olive oil mixture over the top. Toss gently. Let sit for ten minutes. Toss gently once again, taste and adjust with more salt or sugar or lemon juice if needed to balance the flavors.Â "
carrot-bean-salad,Serve warm or at room temperature and finish by sprinkling with the almonds just before serving. If you have any herb flowers add them now too.
Recipe            ,Instruction
pluot-summer-salad,"Heat the butter or oil in a large skillet, and cook the shallots, stirring regularly, until they take on a good amount of color. Stir in the garlic cloves, allow to cook another minute or two, and then stir in the ginger for the final minute. Set aside."
pluot-summer-salad,"Whisk together the lime juice, soy sauce, and honey in a small bowl, until the honey dissolves completely. Taste and adjust if needed."
pluot-summer-salad,"Arrange the pluots, cherries, and figs in a serving bowl. Drizzle with half of the soy dressing, and toss very gently. Add the shallot mixture, most of the peanuts, and most of the herbs. Toss gently to distribute everything evenly. Taste, decide if you want to add more dressing, and serving sprinkled with the remaining peanuts and herbs."
Recipe       ,Instruction
salad-recipes,"Combine the sour cream, buttermilk, olive oil, vinegar, salt, onion powder, garlic powder, chives, and sriracha in a jar. Stir until well combined."
salad-recipes,"Prep your grill by getting it nice and hot. Cut the iceberg lettuce into quarters through the core and stem - this way they hold together. Brush each wedge with a generous amount of olive oil, and get ready to put them on the grill. It will go fast, so donâ€™t walk away. Quickly arrange the lettuce wedges cut side down across the hottest zones of your grill. Leave them there for 30-45 seconds, or long enough to take on some color. Then, quickly (and carefully) turn each wedge onto its second cut side, for another 30-45 seconds, remove quickly onto individual plates or a family-style platter."
salad-recipes,"Serve drizzled with the dressing and lots of crushed kale chips, toasted nuts (pine nuts and pistachios pictured here), and you can never have enough chives. You'll likely have plenty of leftover dressing, it keeps, refrigerated, for 4-5 days."
Recipe       ,Instruction
fregola-sarda,"Place the eggs in a pot and cover with cold water by 1/2 inch or so. Bring to a gentle boil. Turn off the heat, cover, and let sit for exactly 10 minutes. Have a big bowl of ice water ready and when the eggs are done cooking, place them in the ice bath for 3 minutes or so--long enough to stop the cooking. Peel, grate on a box grater, toss with a couple pinches of salt, and set aside."
