Recipe,Amount,Unit,Ingredient
toasted-pumpkin-seeds,2,teaspoons,"olive oil
"
toasted-pumpkin-seeds,,,"fine grain sea salt
"
curried-tomato-tortellini-soup,4,,"big handfuls spinach, chopped (or frozen equiv)
"
curried-tomato-tortellini-soup,2,tablespoons,"extra virgin olive oil
"
curried-tomato-tortellini-soup,1,,"medium yellow onion, diced
"
curried-tomato-tortellini-soup,3,cloves,"garlic, minced
"
curried-tomato-tortellini-soup,2 0.5,teaspoons,"curry powder
"
curried-tomato-tortellini-soup,0.75,teaspoon,"sweet (or smoked) paprika
"
curried-tomato-tortellini-soup,0.5,teaspoon,"ground turmeric
"
curried-tomato-tortellini-soup,0.75,teaspoon,"red chile flakes
"
curried-tomato-tortellini-soup,1 28,ounce,"can whole tomatoes, with liquid
"
curried-tomato-tortellini-soup,0.75,cup,"dried red lentils, rinsed
"
curried-tomato-tortellini-soup,4,cups,"water
"
curried-tomato-tortellini-soup,1,teaspoon,"fine grain sea salt, plus more to taste
"
curried-tomato-tortellini-soup,8,ounces,/ 1/2 pound fresh tortellini
curried-tomato-tortellini-soup,,,"to serve: a bit of grated cheese, lemon (optional)
"
swedish-rye-cookies,1,cup,"rye flour
"
swedish-rye-cookies,1,cup,"whole wheat pastry flour
"
swedish-rye-cookies,0.5,teaspoon,"fine grain sea salt
"
swedish-rye-cookies,0.5,cup,"cream cheese, room temperature
"
swedish-rye-cookies,0.5,cup,"unsalted butter, room temperature
"
swedish-rye-cookies,0.5,cup,"fine grain natural cane sugar, sifted
"
swedish-rye-cookies,,,"large grain sugar (for sprinkling)
"
swedish-rye-cookies,,,"organic powdered sugar (for snow)
"
chipotle-baked-beans,1,pound,"of large, dried white beans (corona, giant limas, gigantes, or any giant white beans you can find), rinsed, picked over and soaked overnight - or up to 24 hours."
chipotle-baked-beans,2,tablespoons,"extra-virgin olive oil
"
chipotle-baked-beans,2,,"big pinches of red pepper flakes
"
chipotle-baked-beans,2,pinches,"of salt
"
chipotle-baked-beans,1,,"large clove garlic, chopped
"
chipotle-baked-beans,1 14,ounce,"can crushed tomatoes
"
chipotle-baked-beans,1,tablespoon,"fresh oregano leaves
"
chipotle-baked-beans,1 0.5,tablespoons,"adobo sauce from a can of chipotle peppers
"
chipotle-baked-beans,1,,"medium clove of garlic
"
chipotle-baked-beans,0.3,cup,"fresh cilantro
"
chipotle-baked-beans,0.3,cup,"extra-virgin olive oil
"
chipotle-baked-beans,,,"big pinch of salt
"
chipotle-baked-beans,0.6,cup,"kale or chard, washed, de-stemmed, and very finely chopped
"
chipotle-baked-beans,1,cup,"queso fresco or feta cheese (see head notes)
"
chipotle-baked-beans,1 0.5,cup,"whole-grain breadcrumbs, toasted in a skillet with a tablespoon of olive oil
"
lemon-ricotta-pancakes,3,,"eggs
"
lemon-ricotta-pancakes,0.75,cup,"ricotta
"
lemon-ricotta-pancakes,3,tablespoons,"olive oil
"
lemon-ricotta-pancakes,3,tablespoons,"almond flour
"
lemon-ricotta-pancakes,1,tablespoon,"sugar
"
lemon-ricotta-pancakes,,,scant 1/2 teaspoon fine grain sea salt
lemon-ricotta-pancakes,,,"zest of two lemons
"
lemon-ricotta-pancakes,0.25,cup,"all-purpose flour
"
best-lasagna,1,pound ,"fresh egg pasta sheets
"
best-lasagna,,,"butter to prep baking dish
"
best-lasagna,3,tablespoons ,"extra-virgin olive oil
"
best-lasagna,1,teaspoon ,"fine grain sea salt
"
best-lasagna,1,teaspoon ,"crushed red pepper flakes
"
best-lasagna,1,clove ,"garlic, chopped
"
best-lasagna,1,28-ounce,"can crushed organic tomatoes
"
best-lasagna,,,"zest of one lemon
"
best-lasagna,3,4-ounce,"balls of fresh mozzarella, torn up into little pieces
"
best-lasagna,,,"a handful of slivered basil (optional)
"
best-lasagna,,,"freshly grated Parmesan (optional)
"
olive-oil-cake,,,"Olive oil for the pan
"
olive-oil-cake,0.75,cup,/ 3 oz / 80g spelt flour or whole wheat pastry flour
olive-oil-cake,1 0.5,cups,/ 7.5 oz / 210 g all-purpose flour
olive-oil-cake,0.75,cup,/ 4 oz / 115g sugar
olive-oil-cake,1 0.5,teaspoons,"baking powder
"
olive-oil-cake,0.75,teaspoon,"kosher salt
"
olive-oil-cake,3,,"eggs
"
olive-oil-cake,1,cup,/ 240 ml olive oil
olive-oil-cake,0.75,cup,/ 180 ml whole milk
olive-oil-cake,1 0.5,tablespoons,"fresh rosemary, finely chopped
"
olive-oil-cake,5,ounces,"/ 140 g bittersweet chocolate (70% cacao), chopped into 1/2-inch pieces"
olive-oil-cake,2,tablespoons,"sugar for top crunch
"
citrus-rice,3,tablespoons,"olive oil or butter
"
citrus-rice,2,cups,"chopped celery (and leaves)
"
citrus-rice,2 3,tablespoons,"instant minced onions OR French onion dip mix
"
citrus-rice,1,teaspoon,"salt
"
citrus-rice,2,cups,"brown basmati rice, rinsed
"
citrus-rice,2,cups,"orange juice, plus zest
"
citrus-rice,2,cups,"water
"
citrus-rice,1,cup,"chopped carrots
"
citrus-rice,1,cup,"toasted cashews
"
citrus-rice,1,,"bunch chopped scallions
"
salsa-recipe,2,pounds,"Roma tomatoes (or similar), cut in half lengthwise
"
salsa-recipe,1,,"medium white onion, cut into six wedges
"
salsa-recipe,1,,"large garlic clove, halved
"
salsa-recipe,,,"a couple pinches of finely ground sea salt
"
salsa-recipe,2 3,tablespoons,"of extra-virgin olive oil
"
salsa-recipe,1,,"medium dried guajillo chile pepper, soaked in boiling water until softened, and then drained
"
salsa-recipe,1  2,,"chipotles in adobo sauce (canned)
"
salsa-recipe,0.5,cup,"cilantro, roughly chopped
"
blistered-green-beans,2,cups,"toasted walnuts
"
blistered-green-beans,4,cloves,"garlic, peeled
"
blistered-green-beans,0.25,t,"salt
"
blistered-green-beans,1 0.5,cups,"hot water
"
blistered-green-beans,0.5,cup,"grated Parmesan cheese
"
blistered-green-beans,,,"Juice and zest of one lemon
"
blistered-green-beans,,,"Freshly ground black pepper
"
blistered-green-beans,12,ounces,/ 3/4 pounds green string beans
blistered-green-beans,2 3,tablespoons,"extra virgin olive oil
"
blistered-green-beans,,,"Bonus: chives and/or chive flowers for serving
"
gnocchi-recipe,,,"Scant 2 pounds of starchy potatoes,"
gnocchi-recipe,0.25,cup,"egg,
"
gnocchi-recipe,,,scant 1 cup of unbleached all-purpose flour
gnocchi-recipe,,,"fine grain sea salt
"
corn-salad,3,tablespoons,"unsalted butter
"
corn-salad,5,,"ears of corn, shucked
"
corn-salad,,,"fine grain sea salt
"
corn-salad,3,tablespoons,"fresh thyme leaves
"
corn-salad,1,cup,"/ 1 1/2 oz / 40 g big coconut flakes, well toasted"
corn-salad,1,cup,"/ 3 oz / 85 g sliced almonds, well toasted"
corn-salad,3,tablespoons,"chopped red onions
"
corn-salad,,,"big squeeze of fresh lemon or lime juice
"
pasta-with-smashed-zucchini-cream,8,ounces,"dried pasta
"
pasta-with-smashed-zucchini-cream,3 4,,"medium zucchini (2 lbs), washed"
pasta-with-smashed-zucchini-cream,2,tablespoons,"extra virgin olive oil
"
pasta-with-smashed-zucchini-cream,6 8,,"medium cloves garlic, grated on microplane
"
pasta-with-smashed-zucchini-cream,0.5,teaspoon,"fine grain sea salt
"
pasta-with-smashed-zucchini-cream,1 0.5,cups,"grated Parmesan or pecorino cheese (fluffy, not packed)
"
pasta-with-smashed-zucchini-cream,1,cup,"basil, thinly sliced
"
pasta-with-smashed-zucchini-cream,,,"black pepper
"
pasta-with-smashed-zucchini-cream,,,"toasted almond slices
"
how-to-make-a-great-vegetarian-poke-bowl,1 0.25,cups,"cooked short-grain rice
"
how-to-make-a-great-vegetarian-poke-bowl,0.3,cup,"watermelon poke
"
how-to-make-a-great-vegetarian-poke-bowl,0.5,cup,"organic tofu, cubed
"
how-to-make-a-great-vegetarian-poke-bowl,0.25,cup,"sprouts or micro greens
"
how-to-make-a-great-vegetarian-poke-bowl,0.25,cup,"lightly-cooked asparagus (or other seasonal veg.)
"
how-to-make-a-great-vegetarian-poke-bowl,0.25,,"small avocado, thinly sliced
"
how-to-make-a-great-vegetarian-poke-bowl,,,"soy sauce, sesame seeds, scallions, thinly sliced watermelon radish
"
frittata-recipe,2,,"large cloves garlic
"
frittata-recipe,0.5,cup,"extra virgin olive oil
"
frittata-recipe,2,tablespoons,"lemon juice, freshly squeezed
"
frittata-recipe,1,,"small bunch cilantro
"
frittata-recipe,1,,"green (serrano) chile, seeds removed
"
frittata-recipe,2,pinches,"ground cumin
"
frittata-recipe,,,"a couple big pinches of salt
"
frittata-recipe,6,,"large organic eggs
"
frittata-recipe,1,tablespoon,"olive oil
"
frittata-recipe,1,,"small yellow onion, chopped
"
frittata-recipe,3,,"small potatoes, very very thinly sliced
"
frittata-recipe,0.5,cup,"yellow zucchini or cauliflower,1/2-inch pieces"
frittata-recipe,0.25,cup,"goat cheese, crumbled
"
frittata-recipe,0.25,cup,"pumpkin seeds, toasted
"
frittata-recipe,,,"couple pinches of salt
"
homemade-pasta,2,cups,"flour (all-purpose flour, semolina, “00” flour, whole grain, or a blend)"
homemade-pasta,2,,"eggs
"
homemade-pasta,1,tablespoon,"extra virgin olive oil
"
homemade-pasta,0.5,teaspoon,"fine grain sea salt
"
peace-love-dip,1,,"large, ripe avocado (about 1 cup)"
peace-love-dip,1,cup,"chickpeas, drained and rinsed
"
peace-love-dip,1,cup,"cashews or almonds, soaked in water for 30 minutes"
peace-love-dip,2,tablespoons,"freshly squeezed lime juice
"
peace-love-dip,2,tablespoons,"freshly squeezed orange juice
"
peace-love-dip,1,inch,"chunk of ginger, peeled OR 3/4 teaspoon ground ginger"
peace-love-dip,2,,"medium cloves garlic, peeled
"
peace-love-dip,0.5,teaspoon,"cayenne pepper, or to taste
"
peace-love-dip,0.5,teaspoon,"fine grain sea salt
"
peace-love-dip,2,teaspoons,"favorite curry powder
"
peace-love-dip,1,teaspoon,"maple syrup
"
peace-love-dip,0.25,cup,"water
"
peace-love-dip,,,"To serve:  toasted cashews, slivered basil, extra chickpeas, drizzle of olive oil, sprinkling of curry powder (optional)
"
carrot-bean-salad,0.25,cup,"extra-virgin olive oil
"
carrot-bean-salad,3,tablespoons,"fresh lemon juice
"
carrot-bean-salad,0.25,teaspoon,"fine grain salt
"
carrot-bean-salad,0.5,cup,"thinly sliced shallots
"
carrot-bean-salad,,,"more olive oil (or ghee) for cooking
"
carrot-bean-salad,2,cups,"sliced carrots, cut 1/4-inch thick on deep bias"
carrot-bean-salad,3,cups,"cooked white beans
"
carrot-bean-salad,,,scant 1/4 cup chopped fresh dill (or basil)
carrot-bean-salad,2,tablespoons,"brown sugar (or honey)
"
carrot-bean-salad,0.3,cup,"sliced almonds, toasted
"
pluot-summer-salad,2,tablespoons,"clarified butter or extra-virgin coconut oil
"
pluot-summer-salad,4,,"medium shallots, peeled and thinly sliced
"
pluot-summer-salad,3,,"medium garlic cloves, very thinly sliced
"
pluot-summer-salad,,,"a 1/2-inch chunk of ginger, peeled and finely minced"
pluot-summer-salad,1 0.5,T,"fresh lime juice
"
pluot-summer-salad,2,teaspoons,"soy sauce / shoyu
"
pluot-summer-salad,2,teaspoons,"runny honey
"
pluot-summer-salad,5,,"ripe pluots, pitted and torn
"
pluot-summer-salad,1,cup,"pitted cherries, torn in half
"
pluot-summer-salad,4,,"dried figs, stemmed and thinly sliced
"
pluot-summer-salad,0.5,cup,"toasted peanuts, chopped
"
pluot-summer-salad,,,"a small handful of each, chopped - fresh basil, mint, and cilantro
"
salad-recipes,0.5,cup,/ 100g sour cream
salad-recipes,0.5,cup,/ 100g buttermilk
salad-recipes,2,tablespoons,"extra virgin olive oil, plus more for grilling
"
salad-recipes,2,teaspoons,"Champagne vinegar
"
salad-recipes,0.5,teaspoon,"fine grain sea salt
"
salad-recipes,1,teaspoon,"onion powder
"
salad-recipes,0.5,teaspoon,"garlic powder
"
salad-recipes,2,tablespoons,"minced chives, plus more for serving
"
salad-recipes,1,tablespoon,"sriracha, curry paste, or salsa negra
"
salad-recipes,1 2,,"medium heads of iceberg lettuce
"
salad-recipes,,,"for serving: crunchy kale chips, toasted nuts
"
fregola-sarda,3,,"large eggs
"
fregola-sarda,,,"fine-grain sea salt
"
fregola-sarda,1 0.25,cups,"fregola (or orzo, Israeli couscous)
"
fregola-sarda,0.25,cup,/ 60 ml extra-virgin olive oil
fregola-sarda,0.25,cup,"/ 45g capers, rinsed and patted dry"
fregola-sarda,2,,"medium cloves garlic, smashed
"
fregola-sarda,1,,"lemon
"
fregola-sarda,2,,"or 3 medium endives, cored & cut into 1/2-inch ribbons"
fregola-sarda,0.5,cup,/ 15g torn fresh basil
fregola-sarda,0.3,cup,/ 45g chopped toasted hazelnuts
fregola-sarda,,,"optional: a sprinkling of dried currants
"
pasta-recipes,1,,"(8-inch) sheet nori, toasted*"
pasta-recipes,0.5,cup,"extra-virgin olive oil
"
pasta-recipes,0.25,teaspoon,"fine-grain sea salt
"
pasta-recipes,,,"Zest of 2 lemons, oranges, limes (or combo)"
pasta-recipes,4,teaspoons,"toasted sesame seeds
"
pasta-recipes,0.25,teaspoon,"cayenne pepper
"
pasta-recipes,0.5,teaspoon,"ground cumin
"
pasta-recipes,1,,"bunch chives, minced
"
pasta-recipes,1,pound,"dried spinach noodles
"
pasta-recipes,0.5,cup,"grated Parmesan or Pecorino cheese
"
grilled-zucchini-bread-salad,0.5,pound,"loaf of multi-grain bread, torn into bits
"
grilled-zucchini-bread-salad,2,pounds,"(4 medium or 2 XL)  zucchini, sliced into 1/4-inch coins"
grilled-zucchini-bread-salad,0.25,cup,"extra virgin olive oil
"
grilled-zucchini-bread-salad,0.3,cup,"ponzu
"
grilled-zucchini-bread-salad,1,tablespoon,"toasted sesame oil
"
grilled-zucchini-bread-salad,1,,"medium serrano pepper,  seeded & minced
"
grilled-zucchini-bread-salad,2,cloves,"garlic, smashed
"
grilled-zucchini-bread-salad,1 14,ounce,"can of chickpeas, drained
"
grilled-zucchini-bread-salad,,,"To serve: zest of one lemon // basil / cherry tomatoes
"
tlt-sandwich,3,tablespoons,"olive oil
"
tlt-sandwich,0.25,cup,"shoyu sauce (or soy sauce)
"
tlt-sandwich,2,tablespoons,"balsamic vinegar
"
tlt-sandwich,2,tablespoons,"brown sugar (or maple syrup)
"
tlt-sandwich,3,tablespoons,"adobo sauce from a can of chipotle peppers
"
tlt-sandwich,8,ounces,"of tempeh, cut into 1/3-inch thick strips"
tlt-sandwich,1,,small basket of cherry tomatoes (2 cups)
tlt-sandwich,0.25,cup,"extra-virgin olive oil olive oil
"
tlt-sandwich,1,tablespoon,"brown sugar (or maple syrup)
"
tlt-sandwich,,,scant 1/2 teaspoon of salt
tlt-sandwich,1,,"small head of romaine lettuce, cored, then cut into 1/4-inch ribbons"
tlt-sandwich,1 2,,"large avocados, mashed with a pinch of salt just before assembling
"
tlt-sandwich,4,,"or 8 extra-thin slices of hearty whole grain bread, well toasted"
grillable-tofu-burgers,1,pound,"/ 16 oz / 450 g extra-firm tofu, drained and patted dry, then sliced"
grillable-tofu-burgers,2,,"large eggs
"
grillable-tofu-burgers,0.5,cup,"/ 2 oz / 55 g fine dried bread crumbs, plus more if needed"
grillable-tofu-burgers,0.5,cup,/ 2 oz / 55 g cashew nuts
grillable-tofu-burgers,0.5,cup,/ 2 oz /55g sunflower seeds
grillable-tofu-burgers,0.5,cup,/ 2 oz / 55g sliced mushrooms
grillable-tofu-burgers,1,tablespoon,"Dijon mustard
"
grillable-tofu-burgers,1,tablespoon,"shoyu, tamari or soy sauce
"
grillable-tofu-burgers,1,teaspoon,"ground cumin
"
grillable-tofu-burgers,0.5,teaspoon,"ground cayenne
"
grillable-tofu-burgers,1,teaspoon,"smoked paprika (optional)
"
grillable-tofu-burgers,0.25,teaspoon,"fine grain sea salt
"
grillable-tofu-burgers,1,tablespoon,"extra virgin olive oil
"
grillable-tofu-burgers,,,"extras: whatever buns & condiments you like!
"
perfect-stovetop-popcorn,0.5,cup,"high-quality popcorn kernels
"
perfect-stovetop-popcorn,3,tablespoons,"melted butter or olive oil, or to taste
"
perfect-stovetop-popcorn,0.25,teaspoon,"fine grain sea salt, or to taste
"
garlic-lime-lettuce-wraps,2,,"garlic cloves,
"
garlic-lime-lettuce-wraps,1,inch,"segment of fresh ginger,
"
garlic-lime-lettuce-wraps,0.5,cup,"almond,
"
garlic-lime-lettuce-wraps,,,scant 1/4 teaspoon fine grain sea salt
garlic-lime-lettuce-wraps,8,ounces,"plain tempeh,
"
garlic-lime-lettuce-wraps,1 0.5,cups,/ 6 ounces leftover rice
garlic-lime-lettuce-wraps,1,teaspoon,"soy sauce or shoyu
"
garlic-lime-lettuce-wraps,1,tablespoon,"freshly squeezed lime juice
"
garlic-lime-lettuce-wraps,1,,"small cucumber,
"
garlic-lime-lettuce-wraps,1,,"small carrot,
"
garlic-lime-lettuce-wraps,,,"a handful of sliced herbs,
"
garlic-lime-lettuce-wraps,10   12,,"whole lettuce leaves,
"
garlic-lime-lettuce-wraps,,,"extra lime, serrano vinegar*, shallot oil, a favorite curry paste
"
zucchini,2,pounds,"zucchini or summer squash
"
zucchini,,,"water
"
spaghetti-no-cook-sauce,1 0.5,pounds,"ripe tomatoes (~3 large), quartered, seeds removed"
spaghetti-no-cook-sauce,3,tablespoons,"extra virgin olive oil
"
spaghetti-no-cook-sauce,2,,"garlic cloves, minced
"
spaghetti-no-cook-sauce,,,"scant teaspoon fine grain sea salt
"
spaghetti-no-cook-sauce,2,,"lemons
"
spaghetti-no-cook-sauce,1,pound,"whole grain spaghetti
"
spaghetti-no-cook-sauce,1,pound,"string beans or broccoli florets
"
spaghetti-no-cook-sauce,0.6,cup,"torn Kalamata olives
"
spaghetti-no-cook-sauce,0.5,cup,"toasted pine nuts
"
spaghetti-no-cook-sauce,0.5,pound,"cherry tomatoes, halved (~2 cups)"
spaghetti-no-cook-sauce,1,cup,"torn mozzarella
"
spaghetti-no-cook-sauce,,,"Slivered fresh basil or fresh lemon verbena (or crushed dried lemon verbena), to serve
"
how-to-cook-quinoa,2,cups,"quinoa
"
how-to-cook-quinoa,3 0.3,cups,"water
"
how-to-cook-quinoa,0.5,tsp,"fine grain sea salt
"
wedge-salad,0.5,cup,/ 100g sour cream
wedge-salad,0.5,cup,/ 100g buttermilk
wedge-salad,2,tablespoons,"extra virgin olive oil, plus more for grilling
"
wedge-salad,2,teaspoons,"Champagne vinegar
"
wedge-salad,0.5,teaspoon,"fine grain sea salt
"
wedge-salad,1,teaspoon,"onion powder
"
wedge-salad,0.5,teaspoon,"garlic powder
"
wedge-salad,2,tablespoons,"minced chives, plus more for serving
"
wedge-salad,1,tablespoon,"sriracha, curry paste, or salsa negra
"
wedge-salad,1 2,,"medium heads of iceberg lettuce
"
wedge-salad,,,"for serving: crunchy kale chips, toasted nuts
"
homemade-cheese-crackers,3,tablespoons,"unsalted butter, cut into 1/2-inch cubes, plus additional for baking sheets"
homemade-cheese-crackers,1 0.5,cups,"/ 7 oz / 200g whole wheat pastry flour, plus more for the counter"
homemade-cheese-crackers,1,teaspoon,"dry mustard powder
"
homemade-cheese-crackers,1,teaspoon,"fine grain sea salt
"
homemade-cheese-crackers,6,ounces,"/ 170 g Cheddar cheese, grated"
homemade-cheese-crackers,2,teaspoons,"white wine vinegar
"
homemade-cheese-crackers,1,,"ice cube
"
homemade-cheese-crackers,,,"seeds (optional)
"
sauteed-zucchini-recipe,2,tablespoons,"extra virgin olive oil
"
sauteed-zucchini-recipe,5,,"medium garlic cloves, thinly sliced
"
sauteed-zucchini-recipe,3,,"medium shallots or new red onions, thinly sliced
"
sauteed-zucchini-recipe,,,"fine grain sea salt
"
sauteed-zucchini-recipe,2,,"medium zucchini, sliced into 1/4-inch thick coins"
sauteed-zucchini-recipe,,,"a good handful of dill and/or scallions, chopped
"
sauteed-zucchini-recipe,0.25,cup,"Marcona almonds or toasted almond slices
"
artichoke-dip,2,,"(14-ounce) cans or jars of water-packed artichokes, well drained"
artichoke-dip,4,ounces,"silken tofu
"
artichoke-dip,3,,"large cloves garlic
"
artichoke-dip,0.5,cup,"parmesan, pecorino or gruyere cheese, freshly grated
"
artichoke-dip,0.3,cup,"plain (or Greek) yogurt
"
artichoke-dip,0.3,cup,"mayonnaise
"
artichoke-dip,0.25,teaspoon,"fine grain sea salt, or to taste
"
artichoke-dip,0.25,teaspoon,"cayenne pepper
"
artichoke-dip,,,"more grated cheese to sprinkle on top
"
pesto-recipe,1,,"large bunch of basil,
"
pesto-recipe,3,,"medium cloves of garlic
"
pesto-recipe,,,"one small handful of raw pine nuts
"
pesto-recipe,,,"roughly 3/4 cup Parmesan,"
pesto-recipe,,,"A few tablespoons of extra-virgin olive oil
"
simple-bruschetta,3,,"handfuls of ripe tomatoes
"
simple-bruschetta,,,"A small handful of basil leaves
"
simple-bruschetta,1,teaspoon,"good-tasting white wine vinegar (or red/balsamic), or to taste
"
simple-bruschetta,0.25,teaspoon,"sea salt, or to taste
"
simple-bruschetta,4,tablespoons,"extra-virgin olive oil, plus more for serving
"
simple-bruschetta,3   4,,large slices of sourdough or country-style bread (slice at least 1/2-inch thick)
simple-bruschetta,2,cloves,"garlic, peeled
"
maximalist-potato-salad,5 6,,medium new potatoes (the waxy kind) - 2 lbs.
maximalist-potato-salad,5,cloves,"medium garlic, chopped
"
maximalist-potato-salad,1,inch,"cube of ginger, peeled & chopped
"
maximalist-potato-salad,0.75,teaspoons,"fine grain sea salt
"
maximalist-potato-salad,4,tablespoons,"olive oil
"
maximalist-potato-salad,25,,"fresh curry leaves
"
maximalist-potato-salad,1,tablespoons,"black mustard seeds
"
maximalist-potato-salad,0.5,teaspoon,"whole cumin seeds
"
maximalist-potato-salad,1,,"medium serrano chile, minced
"
maximalist-potato-salad,0.5,teaspoon,"ground chile powder (cayenne, guitar sannam)
"
maximalist-potato-salad,0.75,teaspoon,"ground turmeric
"
maximalist-potato-salad,3,,"green onions, thinly sliced
"
maximalist-potato-salad,1,cup,"chickpeas
"
maximalist-potato-salad,0.6,cup,"chopped herbs (chives, cilantro, basil)
"
maximalist-potato-salad,2 3,cups,"of blanched seasonal vegetables - for example: asparagus segments, fava beans, peas
"
maximalist-potato-salad,,,"Freshly squeezed lemon juice
"
maximalist-potato-salad,2 3,tablespoons,"toasted sesame seeds
"
cucumber-salad,3,,"medium cucumbers, partially peeled
"
cucumber-salad,1 2,,"green serrano chiles, stemmed and minced
"
cucumber-salad,0.5,cup,"/ 2.5 ounces / 70 g peanuts, toasted"
cucumber-salad,0.3,cup,"/ 1.5 ounces / 45 g dried large-flake coconut, toasted"
cucumber-salad,2,tablespoons,"fresh lemon juice
"
cucumber-salad,1,teaspoon,"natural cane sugar
"
cucumber-salad,1,,"tablespoon, ghee, clarified butter, or sunflower oil
"
cucumber-salad,0.5,teaspoon,"black mustard seeds
"
cucumber-salad,0.25,teaspoon,"cumin seeds
"
cucumber-salad,,,scant 1/2 teaspoon fine grain sea salt
cucumber-salad,,,"a handful cilantro, chopped
"
omelette-recipe,2,,"large eggs, beaten
"
omelette-recipe,,,"a tiny pinch of fine grain sea salt
"
omelette-recipe,,,"a few tablespoons of chopped chives or herbs
"
omelette-recipe,,,"a dollop of pesto
"
omelette-recipe,,,"a bit of goat cheese or feta
"
omelette-recipe,,,"a small handful of mixed salad greens
"
citrus-recipes,1 0.5,cups,/ 6 1/2 oz / 185g orange peel (from ~10 oranges)
citrus-recipes,1,teaspoon,"fine grain sea salt
"
citrus-recipes,0.6,cup,/ 100g peeled garlic cloves
citrus-recipes,0.25,cup,"orange juice
"
citrus-recipes,3,tablespoons,"extra virgin olive oil
"
citrus-recipes,230,g,/ ~2 cups Meyer lemon peel (from ~20 lemons)
citrus-recipes,1 0.5,teaspoons,"fine grain sea salt
"
citrus-recipes,0.5,cup,/ 75g peeled garlic cloves
citrus-recipes,0.3,cup,"freshly squeezed Meyer lemon juice
"
citrus-recipes,3,tablespoons,"extra virgin olive oil
"
citrus-recipes,100,g,Meyer Lemon Peel  (from 8-10 lemons)
citrus-recipes,200,g,"sugar
"
citrus-recipes,,,"A few small rose geranium leaves
"
citrus-recipes,0.6,cup,"freshly squeezed Meyer lemon juice
"
citrus-recipes,1 0.5,cups,/ 6 1/2 oz / 185g orange peel (from ~10 oranges)
citrus-recipes,370,g,"sugar
"
citrus-recipes,0.6,cup,"freshly squeezed orange juice
"
cavatelli,160,g,"water
"
cavatelli,300,g,"semolina flour, “00” flour, or a combination of the two"
cavatelli,4,g,"/ scant teaspoon fine grain sea salt
"
