Recipe,Amount,Unit,Ingredient
curried-tomato-tortellini-soup,0.75,236.6,dried red lentils
curried-tomato-tortellini-soup,4.0,236.6,water
curried-tomato-tortellini-soup,1.0,14.8,fine grain sea salt
curried-tomato-tortellini-soup,8.0,28.4,/ 1/2 pound fresh tortellini
swedish-rye-cookies,1.0,236.6,rye flour
swedish-rye-cookies,1.0,236.6,whole wheat pastry flour
swedish-rye-cookies,0.5,14.8,fine grain sea salt
swedish-rye-cookies,0.5,236.6,cream cheese
swedish-rye-cookies,0.5,236.6,unsalted butter
swedish-rye-cookies,0.5,236.6,fine grain natural cane sugar
swedish-rye-cookies,0.0,-1.0,large grain sugar (for sprinkling)
swedish-rye-cookies,0.0,-1.0,organic powdered sugar (for snow)
chipotle-baked-beans,2.0,14.8,extra-virgin olive oil
chipotle-baked-beans,2.0,-1.0,big pinches of red pepper flakes
chipotle-baked-beans,2.0,0.23,of salt
chipotle-baked-beans,1.0,-1.0,large clove garlic
chipotle-baked-beans,14.0,28.4,can crushed tomatoes
chipotle-baked-beans,1.0,14.8,fresh oregano leaves
chipotle-baked-beans,1.5,14.8,adobo sauce from a can of chipotle peppers
chipotle-baked-beans,1.0,-1.0,medium clove of garlic
chipotle-baked-beans,0.3,236.6,fresh cilantro
chipotle-baked-beans,0.3,236.6,extra-virgin olive oil
chipotle-baked-beans,0.0,-1.0,big pinch of salt
chipotle-baked-beans,0.6,236.6,kale or chard
chipotle-baked-beans,1.0,236.6,queso fresco or feta cheese (see head notes)
chipotle-baked-beans,1.5,236.6,whole-grain breadcrumbs
lemon-ricotta-pancakes,3.0,-1.0,eggs
lemon-ricotta-pancakes,0.75,236.6,ricotta
lemon-ricotta-pancakes,3.0,14.8,olive oil
lemon-ricotta-pancakes,3.0,14.8,almond flour
lemon-ricotta-pancakes,1.0,14.8,sugar
lemon-ricotta-pancakes,0.0,-1.0,scant 1/2 teaspoon fine grain sea salt
lemon-ricotta-pancakes,0.0,-1.0,zest of two lemons
lemon-ricotta-pancakes,0.25,236.6,all-purpose flour
best-lasagna,1.0,453.6,fresh egg pasta sheets
best-lasagna,0.0,-1.0,butter to prep baking dish
best-lasagna,3.0,14.8,extra-virgin olive oil
best-lasagna,1.0,14.8,fine grain sea salt
best-lasagna,1.0,14.8,crushed red pepper flakes
best-lasagna,1.0,-1.0,garlic
best-lasagna,1.0,793.8,can crushed organic tomatoes
best-lasagna,0.0,-1.0,zest of one lemon
best-lasagna,3.0,113.4,balls of fresh mozzarella
olive-oil-cake,0.0,-1.0,Olive oil for the pan
olive-oil-cake,0.75,236.6,/ 3 oz / 80g spelt flour or whole wheat pastry flour
olive-oil-cake,1.5,236.6,/ 7.5 oz / 210 g all-purpose flour
olive-oil-cake,0.75,236.6,/ 4 oz / 115g sugar
olive-oil-cake,1.5,14.8,baking powder
olive-oil-cake,0.75,14.8,kosher salt
olive-oil-cake,3.0,-1.0,eggs
olive-oil-cake,1.0,236.6,/ 240 ml olive oil
olive-oil-cake,0.75,236.6,/ 180 ml whole milk
olive-oil-cake,1.5,14.8,fresh rosemary
olive-oil-cake,5.0,28.4,/ 140 g bittersweet chocolate (70% cacao)
olive-oil-cake,2.0,14.8,sugar for top crunch
citrus-rice,3.0,14.8,olive oil or butter
citrus-rice,2.0,236.6,chopped celery (and leaves)
citrus-rice,3.0,14.8,instant minced onions OR French onion dip mix
citrus-rice,1.0,14.8,salt
citrus-rice,2.0,236.6,brown basmati rice
citrus-rice,2.0,236.6,orange juice
citrus-rice,2.0,236.6,water
citrus-rice,1.0,236.6,chopped carrots
citrus-rice,1.0,236.6,toasted cashews
citrus-rice,1.0,-1.0,bunch chopped scallions
salsa-recipe,2.0,453.6,Roma tomatoes (or similar)
salsa-recipe,1.0,-1.0,medium white onion
salsa-recipe,1.0,-1.0,large garlic clove
salsa-recipe,0.0,-1.0,a couple pinches of finely ground sea salt
salsa-recipe,3.0,14.8,of extra-virgin olive oil
salsa-recipe,1.0,-1.0,medium dried guajillo chile pepper
salsa-recipe,2.0,-1.0,chipotles in adobo sauce (canned)
salsa-recipe,0.5,236.6,cilantro
blistered-green-beans,2.0,236.6,toasted walnuts
blistered-green-beans,4.0,-1.0,garlic
blistered-green-beans,0.25,14.8,salt
blistered-green-beans,1.5,236.6,hot water
blistered-green-beans,0.5,236.6,grated Parmesan cheese
blistered-green-beans,0.0,-1.0,Juice and zest of one lemon
blistered-green-beans,0.0,-1.0,Freshly ground black pepper
blistered-green-beans,12.0,28.4,/ 3/4 pounds green string beans
blistered-green-beans,3.0,14.8,extra virgin olive oil
gnocchi-recipe,0.0,-1.0,Scant 2 pounds of starchy potatoes
gnocchi-recipe,0.25,236.6,egg
gnocchi-recipe,0.0,-1.0,scant 1 cup of unbleached all-purpose flour
gnocchi-recipe,0.0,-1.0,fine grain sea salt
corn-salad,3.0,14.8,unsalted butter
corn-salad,5.0,-1.0,ears of corn
corn-salad,0.0,-1.0,fine grain sea salt
corn-salad,3.0,14.8,fresh thyme leaves
corn-salad,1.0,236.6,/ 1 1/2 oz / 40 g big coconut flakes
corn-salad,1.0,236.6,/ 3 oz / 85 g sliced almonds
corn-salad,3.0,14.8,chopped red onions
corn-salad,0.0,-1.0,big squeeze of fresh lemon or lime juice
pasta-with-smashed-zucchini-cream,8.0,28.4,dried pasta
pasta-with-smashed-zucchini-cream,4.0,-1.0,medium zucchini (2 lbs)
pasta-with-smashed-zucchini-cream,2.0,14.8,extra virgin olive oil
pasta-with-smashed-zucchini-cream,8.0,-1.0,medium cloves garlic
pasta-with-smashed-zucchini-cream,0.5,14.8,fine grain sea salt
pasta-with-smashed-zucchini-cream,1.5,236.6,grated Parmesan or pecorino cheese (fluffy
pasta-with-smashed-zucchini-cream,1.0,236.6,basil
pasta-with-smashed-zucchini-cream,0.0,-1.0,black pepper
pasta-with-smashed-zucchini-cream,0.0,-1.0,toasted almond slices
how-to-make-a-great-vegetarian-poke-bowl,1.25,236.6,cooked short-grain rice
how-to-make-a-great-vegetarian-poke-bowl,0.3,236.6,watermelon poke
how-to-make-a-great-vegetarian-poke-bowl,0.5,236.6,organic tofu
how-to-make-a-great-vegetarian-poke-bowl,0.25,236.6,sprouts or micro greens
how-to-make-a-great-vegetarian-poke-bowl,0.25,236.6,lightly-cooked asparagus (or other seasonal veg.)
how-to-make-a-great-vegetarian-poke-bowl,0.25,-1.0,small avocado
how-to-make-a-great-vegetarian-poke-bowl,0.0,-1.0,soy sauce
frittata-recipe,2.0,-1.0,large cloves garlic
frittata-recipe,0.5,236.6,extra virgin olive oil
frittata-recipe,2.0,14.8,lemon juice
frittata-recipe,1.0,-1.0,small bunch cilantro
frittata-recipe,1.0,-1.0,green (serrano) chile
frittata-recipe,2.0,0.23,ground cumin
frittata-recipe,0.0,-1.0,a couple big pinches of salt
frittata-recipe,6.0,-1.0,large organic eggs
frittata-recipe,1.0,14.8,olive oil
frittata-recipe,1.0,-1.0,small yellow onion
frittata-recipe,3.0,-1.0,small potatoes
frittata-recipe,0.5,236.6,yellow zucchini or cauliflower
frittata-recipe,0.25,236.6,goat cheese
frittata-recipe,0.25,236.6,pumpkin seeds
frittata-recipe,0.0,-1.0,couple pinches of salt
homemade-pasta,2.0,236.6,flour (all-purpose flour
homemade-pasta,2.0,-1.0,eggs
homemade-pasta,1.0,14.8,extra virgin olive oil
homemade-pasta,0.5,14.8,fine grain sea salt
peace-love-dip,1.0,-1.0, ripe avocado (about 1 cup)
peace-love-dip,1.0,236.6,chickpeas
peace-love-dip,1.0,236.6,cashews or almonds
peace-love-dip,2.0,14.8,freshly squeezed lime juice
peace-love-dip,2.0,14.8,freshly squeezed orange juice
peace-love-dip,1.0,-1.0,chunk of ginger
peace-love-dip,2.0,-1.0,medium cloves garlic
peace-love-dip,0.5,14.8,cayenne pepper
peace-love-dip,0.5,14.8,fine grain sea salt
peace-love-dip,2.0,14.8,favorite curry powder
peace-love-dip,1.0,14.8,maple syrup
peace-love-dip,0.25,236.6,water
carrot-bean-salad,0.25,236.6,extra-virgin olive oil
carrot-bean-salad,3.0,14.8,fresh lemon juice
carrot-bean-salad,0.25,14.8,fine grain salt
carrot-bean-salad,0.5,236.6,thinly sliced shallots
carrot-bean-salad,0.0,-1.0,more olive oil (or ghee) for cooking
carrot-bean-salad,2.0,236.6,sliced carrots
carrot-bean-salad,3.0,236.6,cooked white beans
carrot-bean-salad,0.0,-1.0,scant 1/4 cup chopped fresh dill (or basil)
carrot-bean-salad,2.0,14.8,brown sugar (or honey)
carrot-bean-salad,0.3,236.6,sliced almonds
pluot-summer-salad,2.0,14.8,clarified butter or extra-virgin coconut oil
pluot-summer-salad,4.0,-1.0,medium shallots
pluot-summer-salad,3.0,-1.0,medium garlic cloves
pluot-summer-salad,0.0,-1.0,a 1/2-inch chunk of ginger
pluot-summer-salad,1.5,14.8,fresh lime juice
pluot-summer-salad,2.0,14.8,soy sauce / shoyu
pluot-summer-salad,2.0,14.8,runny honey
pluot-summer-salad,5.0,-1.0,ripe pluots
pluot-summer-salad,1.0,236.6,pitted cherries
pluot-summer-salad,4.0,-1.0,dried figs
pluot-summer-salad,0.5,236.6,toasted peanuts
pluot-summer-salad,0.0,-1.0,a small handful of each
salad-recipes,0.5,236.6,/ 100g sour cream
salad-recipes,0.5,236.6,/ 100g buttermilk
salad-recipes,2.0,14.8,extra virgin olive oil
salad-recipes,2.0,14.8,Champagne vinegar
salad-recipes,0.5,14.8,fine grain sea salt
salad-recipes,1.0,14.8,onion powder
salad-recipes,0.5,14.8,garlic powder
salad-recipes,2.0,14.8,minced chives
salad-recipes,1.0,14.8,sriracha
salad-recipes,2.0,-1.0,medium heads of iceberg lettuce
salad-recipes,0.0,-1.0,for serving: crunchy kale chips
fregola-sarda,3.0,-1.0,large eggs
fregola-sarda,0.0,-1.0,fine-grain sea salt
fregola-sarda,1.25,236.6,fregola (or orzo
fregola-sarda,0.25,236.6,/ 60 ml extra-virgin olive oil
fregola-sarda,0.25,236.6,/ 45g capers
fregola-sarda,2.0,-1.0,medium cloves garlic
fregola-sarda,1.0,-1.0,lemon
fregola-sarda,2.0,-1.0,or 3 medium endives
fregola-sarda,0.5,236.6,/ 15g torn fresh basil
fregola-sarda,0.3,236.6,/ 45g chopped toasted hazelnuts
pasta-recipes,1.0,-1.0,(8-inch) sheet nori
pasta-recipes,0.5,236.6,extra-virgin olive oil
pasta-recipes,0.25,14.8,fine-grain sea salt
pasta-recipes,0.0,-1.0,Zest of 2 lemons
pasta-recipes,4.0,14.8,toasted sesame seeds
pasta-recipes,0.25,14.8,cayenne pepper
pasta-recipes,0.5,14.8,ground cumin
pasta-recipes,1.0,-1.0,bunch chives
pasta-recipes,1.0,453.6,dried spinach noodles
pasta-recipes,0.5,236.6,grated Parmesan or Pecorino cheese
grilled-zucchini-bread-salad,0.5,453.6,loaf of multi-grain bread
grilled-zucchini-bread-salad,2.0,453.6,(4 medium or 2 XL)  zucchini
grilled-zucchini-bread-salad,0.25,236.6,extra virgin olive oil
grilled-zucchini-bread-salad,0.3,236.6,ponzu
grilled-zucchini-bread-salad,1.0,14.8,toasted sesame oil
grilled-zucchini-bread-salad,1.0,-1.0,medium serrano pepper
grilled-zucchini-bread-salad,2.0,-1.0,garlic
grilled-zucchini-bread-salad,14.0,28.4,can of chickpeas
tlt-sandwich,3.0,14.8,olive oil
tlt-sandwich,0.25,236.6,shoyu sauce (or soy sauce)
tlt-sandwich,2.0,14.8,balsamic vinegar
tlt-sandwich,2.0,14.8,brown sugar (or maple syrup)
tlt-sandwich,3.0,14.8,adobo sauce from a can of chipotle peppers
tlt-sandwich,8.0,28.4,of tempeh
tlt-sandwich,1.0,-1.0,small basket of cherry tomatoes (2 cups)
tlt-sandwich,0.25,236.6,extra-virgin olive oil olive oil
tlt-sandwich,1.0,14.8,brown sugar (or maple syrup)
tlt-sandwich,0.0,-1.0,scant 1/2 teaspoon of salt
tlt-sandwich,1.0,-1.0,small head of romaine lettuce
tlt-sandwich,2.0,-1.0,large avocados
tlt-sandwich,4.0,-1.0,or 8 extra-thin slices of hearty whole grain bread
grillable-tofu-burgers,1.0,453.6,/ 16 oz / 450 g extra-firm tofu
grillable-tofu-burgers,2.0,-1.0,large eggs
grillable-tofu-burgers,0.5,236.6,/ 2 oz / 55 g fine dried bread crumbs
grillable-tofu-burgers,0.5,236.6,/ 2 oz / 55 g cashew nuts
grillable-tofu-burgers,0.5,236.6,/ 2 oz /55g sunflower seeds
grillable-tofu-burgers,0.5,236.6,/ 2 oz / 55g sliced mushrooms
grillable-tofu-burgers,1.0,14.8,Dijon mustard
grillable-tofu-burgers,1.0,14.8,shoyu
grillable-tofu-burgers,1.0,14.8,ground cumin
grillable-tofu-burgers,0.5,14.8,ground cayenne
grillable-tofu-burgers,0.25,14.8,fine grain sea salt
grillable-tofu-burgers,1.0,14.8,extra virgin olive oil
grillable-tofu-burgers,0.0,-1.0,extras: whatever buns & condiments you like!
perfect-stovetop-popcorn,0.5,236.6,high-quality popcorn kernels
perfect-stovetop-popcorn,3.0,14.8,melted butter or olive oil
perfect-stovetop-popcorn,0.25,14.8,fine grain sea salt
garlic-lime-lettuce-wraps,2.0,-1.0,garlic cloves
garlic-lime-lettuce-wraps,1.0,-1.0,segment of fresh ginger
garlic-lime-lettuce-wraps,0.5,236.6,almond
garlic-lime-lettuce-wraps,0.0,-1.0,scant 1/4 teaspoon fine grain sea salt
garlic-lime-lettuce-wraps,8.0,28.4,plain tempeh
garlic-lime-lettuce-wraps,1.5,236.6,/ 6 ounces leftover rice
garlic-lime-lettuce-wraps,1.0,14.8,soy sauce or shoyu
garlic-lime-lettuce-wraps,1.0,14.8,freshly squeezed lime juice
garlic-lime-lettuce-wraps,1.0,-1.0,small cucumber
garlic-lime-lettuce-wraps,1.0,-1.0,small carrot
garlic-lime-lettuce-wraps,0.0,-1.0,a handful of sliced herbs
garlic-lime-lettuce-wraps,12.0,-1.0,whole lettuce leaves
garlic-lime-lettuce-wraps,0.0,-1.0,extra lime
zucchini,2.0,453.6,zucchini or summer squash
zucchini,0.0,-1.0,water
spaghetti-no-cook-sauce,1.5,453.6,ripe tomatoes (~3 large)
spaghetti-no-cook-sauce,3.0,14.8,extra virgin olive oil
spaghetti-no-cook-sauce,2.0,-1.0,garlic cloves
spaghetti-no-cook-sauce,0.0,-1.0,scant teaspoon fine grain sea salt
spaghetti-no-cook-sauce,2.0,-1.0,lemons
spaghetti-no-cook-sauce,1.0,453.6,whole grain spaghetti
spaghetti-no-cook-sauce,1.0,453.6,string beans or broccoli florets
spaghetti-no-cook-sauce,0.6,236.6,torn Kalamata olives
spaghetti-no-cook-sauce,0.5,236.6,toasted pine nuts
spaghetti-no-cook-sauce,0.5,453.6,cherry tomatoes
spaghetti-no-cook-sauce,1.0,236.6,torn mozzarella
how-to-cook-quinoa,2.0,236.6,quinoa
how-to-cook-quinoa,3.3,236.6,water
how-to-cook-quinoa,0.5,14.8,fine grain sea salt
wedge-salad,0.5,236.6,/ 100g sour cream
wedge-salad,0.5,236.6,/ 100g buttermilk
wedge-salad,2.0,14.8,extra virgin olive oil
wedge-salad,2.0,14.8,Champagne vinegar
wedge-salad,0.5,14.8,fine grain sea salt
wedge-salad,1.0,14.8,onion powder
wedge-salad,0.5,14.8,garlic powder
wedge-salad,2.0,14.8,minced chives
wedge-salad,1.0,14.8,sriracha
wedge-salad,2.0,-1.0,medium heads of iceberg lettuce
wedge-salad,0.0,-1.0,for serving: crunchy kale chips
homemade-cheese-crackers,3.0,14.8,unsalted butter
homemade-cheese-crackers,1.5,236.6,/ 7 oz / 200g whole wheat pastry flour
homemade-cheese-crackers,1.0,14.8,dry mustard powder
homemade-cheese-crackers,1.0,14.8,fine grain sea salt
homemade-cheese-crackers,6.0,28.4,/ 170 g Cheddar cheese
homemade-cheese-crackers,2.0,14.8,white wine vinegar
homemade-cheese-crackers,1.0,-1.0,ice cube
sauteed-zucchini-recipe,2.0,14.8,extra virgin olive oil
sauteed-zucchini-recipe,5.0,-1.0,medium garlic cloves
sauteed-zucchini-recipe,3.0,-1.0,medium shallots or new red onions
sauteed-zucchini-recipe,0.0,-1.0,fine grain sea salt
sauteed-zucchini-recipe,2.0,-1.0,medium zucchini
sauteed-zucchini-recipe,0.0,-1.0,a good handful of dill and/or scallions
sauteed-zucchini-recipe,0.25,236.6,Marcona almonds or toasted almond slices
artichoke-dip,2.0,-1.0,(14-ounce) cans or jars of water-packed artichokes
artichoke-dip,4.0,28.4,silken tofu
artichoke-dip,3.0,-1.0,large cloves garlic
artichoke-dip,0.5,236.6,parmesan
artichoke-dip,0.3,236.6,plain (or Greek) yogurt
artichoke-dip,0.3,236.6,mayonnaise
artichoke-dip,0.25,14.8,fine grain sea salt
artichoke-dip,0.25,14.8,cayenne pepper
artichoke-dip,0.0,-1.0,more grated cheese to sprinkle on top
pesto-recipe,1.0,-1.0,large bunch of basil
pesto-recipe,3.0,-1.0,medium cloves of garlic
pesto-recipe,0.0,-1.0,one small handful of raw pine nuts
pesto-recipe,0.0,-1.0,roughly 3/4 cup Parmesan
pesto-recipe,0.0,-1.0,A few tablespoons of extra-virgin olive oil
simple-bruschetta,3.0,-1.0,handfuls of ripe tomatoes
simple-bruschetta,0.0,-1.0,A small handful of basil leaves
simple-bruschetta,1.0,14.8,good-tasting white wine vinegar (or red/balsamic)
simple-bruschetta,0.25,14.8,sea salt
simple-bruschetta,4.0,14.8,extra-virgin olive oil
simple-bruschetta,4.0,-1.0,large slices of sourdough or country-style bread (slice at least 1/2-inch thick)
simple-bruschetta,2.0,-1.0,garlic
maximalist-potato-salad,6.0,-1.0,medium new potatoes (the waxy kind) - 2 lbs.
maximalist-potato-salad,5.0,-1.0,medium garlic
maximalist-potato-salad,1.0,-1.0,cube of ginger
maximalist-potato-salad,0.75,14.8,fine grain sea salt
maximalist-potato-salad,4.0,14.8,olive oil
maximalist-potato-salad,25.0,-1.0,fresh curry leaves
maximalist-potato-salad,1.0,14.8,black mustard seeds
maximalist-potato-salad,0.5,14.8,whole cumin seeds
maximalist-potato-salad,1.0,-1.0,medium serrano chile
maximalist-potato-salad,0.5,14.8,ground chile powder (cayenne
maximalist-potato-salad,0.75,14.8,ground turmeric
maximalist-potato-salad,3.0,-1.0,green onions
maximalist-potato-salad,1.0,236.6,chickpeas
maximalist-potato-salad,0.6,236.6,chopped herbs (chives
maximalist-potato-salad,3.0,236.6,of blanched seasonal vegetables - for example: asparagus segments
maximalist-potato-salad,0.0,-1.0,Freshly squeezed lemon juice
maximalist-potato-salad,3.0,14.8,toasted sesame seeds
cucumber-salad,3.0,-1.0,medium cucumbers
cucumber-salad,2.0,-1.0,green serrano chiles
cucumber-salad,0.5,236.6,/ 2.5 ounces / 70 g peanuts
cucumber-salad,0.3,236.6,/ 1.5 ounces / 45 g dried large-flake coconut
cucumber-salad,2.0,14.8,fresh lemon juice
cucumber-salad,1.0,14.8,natural cane sugar
cucumber-salad,1.0,-1.0,tablespoon
cucumber-salad,0.5,14.8,black mustard seeds
cucumber-salad,0.25,14.8,cumin seeds
cucumber-salad,0.0,-1.0,scant 1/2 teaspoon fine grain sea salt
cucumber-salad,0.0,-1.0,a handful cilantro
omelette-recipe,2.0,-1.0,large eggs
omelette-recipe,0.0,-1.0,a tiny pinch of fine grain sea salt
omelette-recipe,0.0,-1.0,a few tablespoons of chopped chives or herbs
omelette-recipe,0.0,-1.0,a dollop of pesto
omelette-recipe,0.0,-1.0,a bit of goat cheese or feta
omelette-recipe,0.0,-1.0,a small handful of mixed salad greens
citrus-recipes,1.5,236.6,/ 6 1/2 oz / 185g orange peel (from ~10 oranges)
citrus-recipes,1.0,14.8,fine grain sea salt
citrus-recipes,0.6,236.6,/ 100g peeled garlic cloves
citrus-recipes,0.25,236.6,orange juice
citrus-recipes,3.0,14.8,extra virgin olive oil
citrus-recipes,230.0,1.0,/ ~2 cups Meyer lemon peel (from ~20 lemons)
citrus-recipes,1.5,14.8,fine grain sea salt
citrus-recipes,0.5,236.6,/ 75g peeled garlic cloves
citrus-recipes,0.3,236.6,freshly squeezed Meyer lemon juice
citrus-recipes,3.0,14.8,extra virgin olive oil
citrus-recipes,100.0,1.0,Meyer Lemon Peel  (from 8-10 lemons)
citrus-recipes,200.0,1.0,sugar
citrus-recipes,0.0,-1.0,A few small rose geranium leaves
citrus-recipes,0.6,236.6,freshly squeezed Meyer lemon juice
citrus-recipes,1.5,236.6,/ 6 1/2 oz / 185g orange peel (from ~10 oranges)
citrus-recipes,370.0,1.0,sugar
citrus-recipes,0.6,236.6,freshly squeezed orange juice
cavatelli,160.0,1.0,water
cavatelli,300.0,1.0,semolina flour
cavatelli,4.0,1.0,/ scant teaspoon fine grain sea salt
cavatelli,1.0,-1.0,medium yellow beet
cavatelli,1.0,-1.0,small head of cauliflower florets
cavatelli,1.0,-1.0,medium delicate squash
cavatelli,0.0,-1.0,Extra-virgin olive oil
cavatelli,0.5,236.6,freshly grated Parmesan cheese
braided-onion-bread,3.0,14.8,extra virgin olive oil
braided-onion-bread,4.0,236.6,chopped yellow onion (~2 large)
braided-onion-bread,0.0,-1.0,Fine grain sea salt
braided-onion-bread,1.0,236.6,aged cheddar cheese
braided-onion-bread,0.3,236.6,toasted sesame seeds
braided-onion-bread,4.5,236.6,/ 540g unbleached all-purpose flour
braided-onion-bread,2.0,14.8,sugar
braided-onion-bread,1.5,14.8,fine grain sea salt
braided-onion-bread,2.5,14.8,(1 packet) active dry yeast
braided-onion-bread,1.5,236.6,warm milk or oat milk (120F)
braided-onion-bread,1.0,-1.0,egg
braided-onion-bread,8.0,14.8,unsalted butter
braided-onion-bread,1.0,-1.0,egg yolk
how-to-make-ghee,1.0,453.6,/ 16 ounces / 450 g of the best quality
fire-broth-noodle-soup,0.3,236.6,extra virgin olive oil
fire-broth-noodle-soup,0.5,-1.0,head of celery (7 stalks plus leaves)
fire-broth-noodle-soup,3.0,-1.0,medium yellow onions
fire-broth-noodle-soup,2.0,14.8,fine grain sea salt
fire-broth-noodle-soup,6.0,-1.0,garlic
fire-broth-noodle-soup,1.5,-1.0,piece of ginger
fire-broth-noodle-soup,1.0,14.8,freshly ground black pepper
fire-broth-noodle-soup,1.0,14.8,ground turmeric
fire-broth-noodle-soup,2.0,14.8,cayenne powder
fire-broth-noodle-soup,14.0,236.6,water
fire-broth-noodle-soup,3.0,-1.0,carrots
fire-broth-noodle-soup,1.0,453.6,dried cranberry or white beans (soaked then cooked) OR 6 cups canned beans
fire-broth-noodle-soup,4.0,-1.0,big handfuls of de-stemmed kale leaves
fire-broth-noodle-soup,0.5,453.6,short pasta (farfalle or egg pasta)
tapioca-pudding-recipe,3.0,236.6,organic milk
tapioca-pudding-recipe,0.3,236.6,small pearl tapioca
tapioca-pudding-recipe,2.0,-1.0,extra-large egg yolks
tapioca-pudding-recipe,0.25,14.8,fine-grain sea salt
tapioca-pudding-recipe,0.3,236.6,sugar
tapioca-pudding-recipe,1.0,-1.0,vanilla bean
spicy-tempeh-crumble-bowl,1.0,14.8,sugar
spicy-tempeh-crumble-bowl,1.0,14.8,sriracha
spicy-tempeh-crumble-bowl,2.0,14.8,tamari or soy sauce
spicy-tempeh-crumble-bowl,3.0,14.8,extra-virgin olive oil
spicy-tempeh-crumble-bowl,2.0,-1.0,medium serrano chiles
spicy-tempeh-crumble-bowl,8.0,-1.0,green onions
spicy-tempeh-crumble-bowl,8.0,28.4,tempeh
spicy-tempeh-crumble-bowl,3.0,-1.0,well-chopped garlic
spicy-tempeh-crumble-bowl,1.0,14.8,toasted sesame seeds
rancho-gordo-heirloom-bean-and-mushroom-carnitas-casserole,3.0,236.6,sliced button mushrooms
rancho-gordo-heirloom-bean-and-mushroom-carnitas-casserole,3.0,-1.0,garlic
rancho-gordo-heirloom-bean-and-mushroom-carnitas-casserole,2.0,14.8,extra-virgin olive oil
rancho-gordo-heirloom-bean-and-mushroom-carnitas-casserole,0.5,14.8,fine-grain sea salt
rancho-gordo-heirloom-bean-and-mushroom-carnitas-casserole,1.0,14.8,dried Mexican oregano
rancho-gordo-heirloom-bean-and-mushroom-carnitas-casserole,3.0,236.6,cooked heirloom beans
