be_matched_ingredient,matched_grocery,price_list,avg_mid_price
gin,"][makoto ginger dressing, 90][bitchin' original sauce, 90][kor wellness ginger shot, 90][sol-ti ginger supershot, 90][fresca original citrus, 90","[0.31276271774340525, 0.440043034268682, 1.5313061855017673, 1.1801105719647658, 0.027192137104727766]",0.64
medium delicata squash,"][yellow squash, 86][acorn squash, 86][healthy ones medium rare roast beefdeli fresh sliced, 86][simply orange medium pulp with calcium & vitamin d juice, 86][vitacup slim diet & metabolism medium roast coffeesingle serve pods, 86","[1.59, 1.29, 9.99, 3.99, 17.99]",5.19
medium shallots,"][shallots, 90][healthy ones medium rare roast beefdeli fresh sliced, 86][simply orange medium pulp with calcium & vitamin d juice, 86][vitacup slim diet & metabolism medium roast coffeesingle serve pods, 86][starbucks keurig k-cup medium roast gingerbread coffee, 86","[2.99, 9.99, 3.99, 17.99, 16.79]",10.26
extra virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[4.79, 8.19, 6.99, 7.99, 9.59]",7.72
/ 115g mozzarella,"][tattooed chef frozen cauliflower crust mozzarella & cheddar cheese vegan pizza, 86][carando mozzarella rustica meatball, 86][aidells italian style with mozzarella cheese smoked chicken sausage, 86][italian chicken sausage with red pepper, mozzarella & provolone cheese, 86][shredded mozzarella cheese, 86","[2.668077626295584, 1.2497222173230569, 1.8332598458526603, 1.3323691775869062, 0.996772429848851]",1.47
salt,"][hormel sliced cured salt pork, 90][shiner sea salt & lime beer, 90][sea salt caramel hot cocoa mix, 90][swiss miss salted caramel, 90][salted butter, 90","[3.99, 15.99, 4.99, 2.19, 2.99]",3.99
bunch scallions,"][green giant celery bunch, 86][organic green onion bunch, 86][kale bunch, 86][tootsie pop holiday bunch of pops, 86][treeline creamy scallion plant-based french-style cheese, 62","[1.49, 1.19, 0.99, 1.0, 6.49]",1.23
egg yolk,"][southern comfort traditional non-alcoholic egg nog, 86][southern comfort vanilla spice non-alcoholic egg nog, 86][reiter creamy egg nog, 86][cage-free liquid egg whites, 86][just egg plant based egg, 86","[2.99, 2.99, 4.59, 4.69, 3.99]",3.86
of small brussels sprouts,"][brussels sprouts, 90][morton's of omaha usda choice salt & pepper beef brisket2.33-5lbs, 86][small tail off peeled & deveined cooked shrimpfrozen, 86][small tail-off, peeled, deveined cooked shrimpfrozen71-90ct/lb, 86][brown estate house of brown chardonnay wine, 86","[3.720065609622745, 34.95, 6.4901144640998965, 5.9951057337871925, 12.089952]",8.19
extra-virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[0.2959341716367685, 0.3371948709392001, 0.4139800915240466, 0.4907317589375474, 0.5999120834530914]",0.41
fine-grain sea salt and freshly ground black pepper,"][ground black pepper, 90][red bell pepper, 86][green bell pepper, 86][orange bell pepper, 86][yellow bell pepper, 86","[2.59, 1.49, 0.79, 1.49, 1.49]",1.49
grated cheese or chopped nuts - your choice!,"][chopped caesar salad kit, 86][chopped kale, 86][southwest chopped salad kit, 86][sweet kale chopped salad kit, 86][blue cheese dressing & dip, 86","[0.7466333309000079, 0.38990656801707263, 0.6607112412329434, 0.6937468032945907, 0.5816961694309658]",0.65
pumpkin seeds,"][organic salted roasted shelled pumpkin seeds, 90][jack o'lantern carving pumpkin, 86][southern tier pumking imperial pumpkin ale beer, 86][21 seeds cucumber jalapeno infused blanco tequila, 86][21 seeds valencia orange infused blanco tequila, 86","[8.32496163953509, 5.99, 3.49767739699393, 14.191267999999997, 14.191267999999997]",9.5
olive oil,"][pam olive oil, 95][land o lakes spreadable butter with olive oil & sea salt, 90][country crock olive oil plant butter, 90][take & bake rosemary olive oil focaccia bread, 90][take & bake rosemary and olive oil rolls, 90","[0.8123176775604508, 0.34455634138168223, 0.24760325830891453, 0.34664456163248036, 0.2601574395785934]",0.32
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
big handfuls spinach,"][once upon a farm organic pear-y blueberry & spinach smart blend 12+ months, 86][baby spinach, 86][spinach bunch, 86][ready pac bistro spinach dijon salad bowl, 86][ready pac foods microwavable spinach salads, 86","[2.49, 3.99, 1.49, 3.29, 2.99]",2.92
extra virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[4.79, 8.19, 6.99, 7.99, 9.59]",7.72
medium yellow onion,"][yellow onion, 90][red onion, 86][white onion, 86][french onion cashew plant based dip + spread, 86][healthy ones medium rare roast beefdeli fresh sliced, 86","[0.95, 0.99, 0.99, 4.29, 9.99]",2.09
garlic,"][spice world minced garlic, 90][spice world organic garlic, 90][garlic parsley mini creamer potatoes, 90][spice world premium minced squeeze garlic, 90][spice world fresh whole garlic, 90","[8.19, 2.99, 3.99, 3.69, 1.59]",3.56
curry powder,"][curry powder, 100][organic curry powder, 90][badia spices curry powder, 90][vegan tangy thai-style curry with quinoa & chickpeas salad kit, 86][hodo plant-based organic vegan thai curry nuggets, 86","[3.7558961455326467, 2.8781719904091876, 1.2986119684650523, 0.4476039111461508, 1.0098502619093812]",1.73
sweet (or smoked) paprika,"][crunch pak sweet apple snackers with pretzels & cheese, 86][sweet corn, 86][sweet potatoes, 86][sweet onions, 86][southern sweet potato chopped salad kit, 86","[0.2217360187360587, 4.19, 0.024389759960493137, 0.024348974408719734, 0.1382521924892309]",0.13
ground turmeric,"][ground turmeric, 100][organic ground turmeric, 90][gt's synergy tantric turmeric organic kombucha, 86][sol-ti organic turmeric supershot, 86][bolthouse farms carrot ginger turmeric juice, 86","[1.258427466928313, 0.9942775966868105, 0.10603242768018666, 0.8732818232539268, 0.0885661327308499]",0.66
red chile flakes,"][extra large red seedless grapes, 86][organic red seedless grapes, 86][extra large red seedless grape, 86][red mini creamer potatoes, 86][red onion, 86","[0.05856805234660224, 0.09772218204906614, 2.39, 0.06998800684315422, 0.99]",0.39
can whole tomatoes,"][organic on-the-vine tomatoes, 86][giorgio fresh whole white mushrooms, 86][cherry tomatoes on-the-vine, 86][spice world fresh whole garlic, 86][genius juice whole coconut smoothie original, 86","[5.592444311187146, 6.626783541155928, 10.0278311786804, 1.59, 13.41757992797606]",7.42
dried red lentils,"][extra large red seedless grapes, 86][organic red seedless grapes, 86][extra large red seedless grape, 86][red onion, 86][red cabbage, 86","[0.9362973773787897, 1.562234342757368, 2.39, 0.99, 1.99]",1.51
water,"][mini watermelon, 90][fresh garden highway watermelon spears, 90][watermelon spears, 90][crazy fresh watermelon spears, 90][crazy fresh watermelon chunks, 90","[3.99, 0.7808563643097761, 0.7808563643097761, 0.9373406056544206, 0.9998299793647153]",0.91
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
/ 1/2 pound fresh tortellini,"][fresh garden highway fresh mixed berries, 86][tyson trimmed & ready boneless & skinless chicken breast1-2.11lbs, 86][tyson trimmed & ready chicken tenderloins1.25-2.1 lbs, 86][smart chicken organic boneless & skinless chicken breast0.75-1.75lbs, 86][smart chicken organic chicken tenderloins0.75-1.75lbs, 86","[4.800536164658989, 10.53, 11.11, 19.23, 19.23]",13.62
rye flour,"][faygo rock & rye soda, 86][robert mondavi private selection rye barrel-aged red blend wine, 86][four corners local buzz honey-rye golden ale beer, 86][madison river salmon fly honey rye beer, 86][4 hands divided sky rye ipa beer, 86","[0.017849999999999998, 0.5596, 0.14075101019493805, 0.14075101019493805, 0.12666181998523451]",0.14
whole wheat pastry flour,"][whole wheat flour, 95][whole carrots, 86][genius juice whole coconut smoothie original, 86][genius juice whole coconut smoothie mocha, 86][genius juice whole coconut smoothie vanilla, 86","[0.25976384063210994, 0.41468323956330805, 3.992202478570342, 3.992202478570342, 3.992202478570342]",2.8
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
cream cheese,"][miyoko's organic plainly classic vegan cream cheese, 90][kite hill chive almond milk cream cheese spread, 90][belgioioso mascarpone italian sweet cream cheese, 90][whipped plain cream cheese spread, 90][whipped strawberry cream cheese spread, 90","[3.124468685514736, 3.385275754422477, 2.602854547699254, 0.8815278929081641, 0.8815278929081641]",2.2
unsalted butter,"][unsalted butter, 100][salted butter, 93][challenge unsalted butter, 90][tillamook unsalted butter spread, 90][land o lakes unsalted butter, 90","[0.7804723187357803, 0.7804723187357803, 1.172013615760419, 1.0937053563554915, 1.0414998500855397]",0.97
fine grain natural cane sugar,"][sugar snap peas, 86][naked green machine all natural fruit + boosts juice smoothie, 86][naked all natural protein zone double berry protein juice smoothie , 86][gardein vegan frozen seven grain crispy tenders, 86][tyson all natural all natural chicken nuggetsfrozen, 86","[1.4553034445051942, 0.7659491813185232, 0.8757626840165194, 1.9427228777305499, 0.7550364644879098]",1.03
large grain sugar (for sprinkling),"][extra large red grapes, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86][sugar snap peas, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86","[6.99, 2.49, 2.79, 5.99, 8.49]",5.26
organic powdered sugar (for snow),"][organic powdered sugar, 95][powdered sugar, 90][organic blueberries, 86][organic nectarines, 86][organic bananas, 86","[3.49, 1.59, 2.99, 4.49, 1.19]",2.69
extra-virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[0.2959341716367685, 0.3371948709392001, 0.4139800915240466, 0.4907317589375474, 0.5999120834530914]",0.41
big pinches of red pepper flakes,"][sweet red cherries, 86][red delicious apples, 86][red bell pepper, 86][green bell pepper, 86][orange bell pepper, 86","[3.99, 4.39, 1.49, 0.79, 1.49]",2.32
of salt,"][triscuit top hint of salt grain crackers, 90][ritz hint of salt crackers, 90][wheat thins hint of salt low sodium whole grain snacks, 90][hearts of romaine, 86][hormel sliced cured salt pork, 86","[0.005325957611037854, 0.0031859880379975546, 0.004439871315830328, 0.00539064964892581, 0.00539515688107374]",0.01
large clove garlic,"][extra large red seedless grapes, 86][extra large green seedless grapes, 86][extra large red seedless grape, 86][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86","[3.59, 3.79, 2.39, 3.99, 3.69]",3.69
can crushed tomatoes,"][roma tomatoes, 86][she can coastal berry dry rosé spritzer, 86][she can island citrus dry rosé spritzer, 86][crooked can high stepper ipa beer, 86][folgers classic roast xl can medium roast coffee, 86","[1.3937282844494612, 7.411263999999999, 7.411263999999999, 2.052148789362849, 3.246919404810197]",4.24
fresh oregano leaves,"][oregano leaves, 95][fresh garden highway fruit burst, 86][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86][fresh garden highway mango spears, 86","[0.8283273661499027, 0.14666484417714598, 0.16281592267941236, 0.16281592267941236, 0.19544436409813226]",0.17
adobo sauce from a can of chipotle peppers,"][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][green bell peppers, 86][organic bell peppers, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86","[0.6093361434945943, 0.6093361434945943, 1.99, 3.39, 0.48746891479567556]",1.07
medium clove of garlic,"][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86][tessemae's organic lemon garlic dressing, 86][cleveland kraut dijon garlic dressing, 86][lemon garlic chicken breast cutlets, 86","[3.99, 3.69, 4.99, 4.99, 7.99]",4.66
fresh cilantro,"][ocean spray fresh cranberries, 86][fresh garden highway fruit burst, 86][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86][fresh garden highway mango spears, 86","[0.5195276812642198, 0.7033966648441771, 0.7808563643097761, 0.7808563643097761, 0.9373406056544206]",0.76
extra-virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[0.2959341716367685, 0.3371948709392001, 0.4139800915240466, 0.4907317589375474, 0.5999120834530914]",0.41
big pinch of salt,"][bob's big boy bleu cheese dressing, 86][bob's big boy ranch dressing, 86][morton's of omaha usda choice salt & pepper beef brisket2.33-5lbs, 86][hormel sliced cured salt pork, 86][oscar mayer smoked uncured turkey bacon with sea salt, 86","[4.29, 4.29, 34.95, 3.99, 3.99]",4.19
kale or chard,"][once upon a farm organic green kale & apples fruit & veggie blend, 86][sweet kale chopped salad kit, 86][taylor farms chopped kale juicing greens, 86][asiago kale chopped salad kit, 86][ready pac kale cranberry pecan chopped salad kit, 86","[3.896457609481648, 1.6649923279070173, 1.1548537011234765, 1.9979907934884211, 3.1046473482777466]",2.26
queso fresco or feta cheese (see head notes),"][cauliflower head, 86][iceberg lettuce head, 86][butter lettuce head, 86][green leaf lettuce head, 86][red leaf lettuce head, 86","[2.99, 1.29, 3.19, 1.59, 1.89]",2.16
whole-grain breadcrumbs,"][giorgio fresh whole white mushrooms, 86][whole carrots, 86][genius juice whole coconut smoothie original, 86][genius juice whole coconut smoothie mocha, 86][genius juice whole coconut smoothie vanilla, 86","[2.957552161413781, 0.622024859344962, 5.988303717855513, 5.988303717855513, 5.988303717855513]",4.98
eggs,"][grade a large eggs, 90][grade a extra large eggs, 90][hard cooked eggs, 90][cackle fresh grade a large eggs, 90][eggplant, 68","[1.69, 1.99, 1.49, 3.99, 1.49]",1.72
ricotta,"][galbani whole milk ricotta cheese, 90][galbani part skim milk ricotta cheese, 90][part-skim ricotta cheese, 90][whole milk ricotta cheese, 90][prego cooking sauce tomato ricotta, 90","[1.2477010176546324, 1.0807844935536781, 0.7886805763770083, 0.7217835632021729, 0.8843883575348941]",0.92
olive oil,"][pam olive oil, 95][land o lakes spreadable butter with olive oil & sea salt, 90][country crock olive oil plant butter, 90][take & bake rosemary olive oil focaccia bread, 90][take & bake rosemary and olive oil rolls, 90","[0.8123176775604508, 0.34455634138168223, 0.24760325830891453, 0.34664456163248036, 0.2601574395785934]",0.32
almond flour,"][almond flour, 100][simple mills gluten free pancake & waffle almond flour mix, 90][simple mills gluten free banana muffin & bread almond flour baking mix, 90][simple mills gluten free brownie almond flour baking mix, 90][simple mills gluten free pumpkin muffin & bread almond flour baking  mix, 90","[0.6254872219968607, 1.1695009208324731, 1.390406650323051, 0.9700511513881752, 1.390406650323051]",1.18
sugar,"][sugar snap peas, 90][organic sugar snap peas, 90][humm zero sugar peach tea kombucha, 90][humm zero sugar blood orange kombucha, 90][suja low sugar refreshers pack, 90","[0.1820667031164571, 0.214695144535177, 0.13603087530759264, 0.13603087530759264, 2.5022401812433426]",0.18
scant 1/2 teaspoon fine grain sea salt,"][tyson trimmed & ready boneless & skinless chicken breast1-2.11lbs, 86][smart chicken organic boneless & skinless chicken breast0.75-1.75lbs, 86][tyson all natural antibiotic free chicken drumsticks1.49-2.938 lbs, 86][tyson all natural antibiotic free chicken wings1.48-2.75 lbs, 86][smart chicken organic boneless & skinless thin sliced chicken breast0.75-1.5lbs, 86","[10.53, 19.23, 5.85, 10.97, 16.49]",12.66
zest of two lemons,"][lemon, 90][morton's of omaha usda choice salt & pepper beef brisket2.33-5lbs, 86][s.pellegrino essenza lemon & lemon zest flavored mineral water, 86][coco real cream of coconut drink mix, 86][brown estate house of brown chardonnay wine, 86","[0.55, 34.95, 5.99, 3.99, 19.99]",9.99
all-purpose flour,"][all purpose flour, 100][unbleached all purpose flour, 90][king arthur flour unbleached all-purpose flour, 90][gold medal all purpose flour, 90][cleveland kraut all hail caesar dressing, 86","[0.044076394645408204, 0.044076394645408204, 0.10406202049418861, 0.14931204694968167, 0.867618182566418]",0.1
fresh egg pasta sheets,"][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86][fresh garden highway mango spears, 86][fresh garden highway pineapple chunks, 86][fresh garden highway cantaloupe spears, 86","[4.990088008606854, 4.990088008606854, 5.990105645602216, 4.792084516481772, 4.990088008606854]",4.99
