,Year,Month,State,Genus Species,Serotype or Genotype,Etiology Status,Location of Preparation,Illnesses,Hospitalizations,Deaths,Food Vehicle,Contaminated Ingredient,Class,Type,Group,Food,Allergy
56,2009.0,3.0,Illinois,Salmonella enterica,Enteritidis,Confirmed,Grocery store,5.0,0.0,0.0,,,,,,,
57,2009.0,2.0,Massachusetts,,,,Restaurant - Sit-down dining,9.0,0.0,0.0,,,,,,,
58,2009.0,3.0,Michigan,,,,Restaurant - Sit-down dining,14.0,1.0,0.0,salads,chicken,,,,,
59,2009.0,3.0,Ohio,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3.0,0.0,0.0,"cheese; deli meat, sliced turkey","deli meat, sliced turkey",,,,,
60,2009.0,1.0,Michigan,,,,Restaurant - other or unknown type,18.0,0.0,0.0,turkey,,,,,,
61,2009.0,1.0,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,16.0,0.0,0.0,fruit,,,,,,
62,2009.0,1.0,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,5.0,0.0,0.0,,,,,,,
63,2009.0,2.0,Wisconsin,Clostridium perfringens,,Confirmed,Restaurant - Sit-down dining,90.0,0.0,0.0,"beef, brisket",,,,,,
64,2009.0,3.0,Ohio,Norovirus Genogroup II,GII_4 New Orleans (2009),Confirmed,Banquet Facility (food prepared and served on-site),20.0,0.0,0.0,,,,,,,
65,2009.0,3.0,Florida,,,,,5.0,1.0,0.0,,,,,,,
66,2009.0,1.0,New Hampshire,Norovirus Genogroup II,,Suspected,Office/indoor workplace,11.0,0.0,0.0,fruit-based salads,,,,,,
67,2009.0,3.0,Arkansas,Salmonella enterica,Typhimurium,Confirmed,,5.0,3.0,0.0,,,,,,,
68,2009.0,2.0,Missouri,,,,Restaurant - Sit-down dining,17.0,0.0,0.0,"cake, tiramisu",,,,,,
69,2009.0,3.0,Idaho,Clostridium perfringens,,Confirmed,Private home/residence,8.0,0.0,0.0,"chicken, other",,,,,,
70,2009.0,4.0,Minnesota,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",15.0,0.0,0.0,"sandwich, unspecified",,,,,,
71,2009.0,4.0,Ohio,,,,Restaurant - Sit-down dining,3.0,0.0,0.0,,,,,,,
72,2009.0,4.0,Ohio,,,,,2.0,0.0,0.0,,,,,,,
73,2009.0,3.0,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,23.0,0.0,0.0,,,,,,,
74,2009.0,3.0,Florida,,,,Restaurant - Sit-down dining,4.0,0.0,0.0,ice; chicken,,,,,,
75,2009.0,3.0,Michigan,,,,Restaurant - other or unknown type,12.0,0.0,0.0,,,,,,,
76,2009.0,3.0,Michigan,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type; Banquet Facility (food prepared and served on-site),131.0,2.0,0.0,"salad, unspecified",,,,,,
77,2009.0,3.0,Michigan,,,,Restaurant - other or unknown type,9.0,,0.0,,,,,,,
78,2009.0,4.0,Ohio,,,,Restaurant - Sit-down dining,3.0,0.0,0.0,,,,,,,
79,2009.0,2.0,Ohio,Norovirus Genogroup I,,Confirmed,Caterer (food prepared off-site from where served),70.0,1.0,0.0,egg salad/egg salad sandwich,,,,,,
80,2009.0,1.0,Connecticut,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,21.0,0.0,0.0,ice,,,,,,
81,2009.0,1.0,Connecticut,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),7.0,2.0,0.0,"lasagna, vegetarian",,,,,,
82,2009.0,2.0,Connecticut,Salmonella enterica,Typhimurium,Confirmed,"Restaurant - other or unknown type; Private home/residence; Fair, festival, other temp or mobile services",4.0,1.0,0.0,,,,,,,
83,2009.0,1.0,California,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3.0,0.0,0.0,bun,,,,,,
84,2009.0,4.0,Illinois,,,,Restaurant - other or unknown type,2.0,0.0,0.0,,,,,,,
85,2009.0,4.0,Minnesota,Norovirus,,Confirmed,Restaurant - Sit-down dining,10.0,0.0,0.0,,,,,,,
86,2009.0,1.0,Missouri,,,,Banquet Facility (food prepared and served on-site),40.0,0.0,0.0,,,,,,,
87,2009.0,4.0,New York,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,13.0,4.0,0.0,"lamb, chops",,,,,,
88,2009.0,3.0,New York,,,,Restaurant - Sit-down dining,3.0,0.0,0.0,"ribs, pork",pork,,,,,
89,2009.0,3.0,Oklahoma,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,25.0,4.0,0.0,,,,,,,
90,2009.0,4.0,Ohio,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store",10.0,0.0,0.0,,,,,,,
91,2009.0,3.0,Alabama,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,35.0,0.0,0.0,,,,,,,
92,2009.0,2.0,Wisconsin,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),16.0,0.0,0.0,cake,,,,,,
93,2009.0,1.0,South Carolina,,,,Caterer (food prepared off-site from where served),14.0,0.0,0.0,,,,,,,
94,2009.0,1.0,South Carolina,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,4.0,0.0,0.0,,,,,,,
95,2009.0,4.0,Illinois,,,,Restaurant - other or unknown type,3.0,1.0,0.0,,,,,,,
96,2009.0,4.0,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,4.0,1.0,0.0,,,,,,,
97,2009.0,1.0,California,,,,Restaurant - Sit-down dining,4.0,0.0,0.0,,,,,,,
98,2009.0,4.0,Ohio,,,,Other (describe in remarks),3.0,0.0,0.0,"sandwich, steak",,,,,,
99,2009.0,3.0,Oregon,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",12.0,,0.0,,,,,,,
100,2009.0,3.0,Oregon,Norovirus Genogroup II,,Confirmed,School/college/university,49.0,0.0,0.0,,,,,,,
101,2009.0,4.0,Hawaii,Histamine,,Confirmed,Prison/jail,13.0,0.0,0.0,"fish, ahi","fish, ahi",,,,,
102,2009.0,3.0,Connecticut,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Office/indoor workplace,60.0,5.0,0.0,chicken tenders,,,,,,
103,2009.0,4.0,Illinois,Norovirus,,Suspected,Office/indoor workplace,11.0,0.0,0.0,,,,,,,
104,2009.0,5.0,Ohio,Clostridium perfringens,,Confirmed,Private home/residence,23.0,0.0,0.0,chicken,,,,,,
105,2009.0,4.0,Minnesota,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",17.0,0.0,0.0,,,,,,,
106,2009.0,4.0,Ohio,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,3.0,2.0,0.0,"ground beef, cheeseburger",,,,,,
107,2009.0,2.0,Mississippi,Norovirus unknown; Staphylococcus unknown,,Confirmed; Confirmed,Prison/jail,66.0,0.0,0.0,cabbage; ice,,,,,,
108,2009.0,2.0,Mississippi,Salmonella enterica,Enteritidis,Confirmed,Prison/jail,184.0,3.0,0.0,,,,,,,
109,2009.0,4.0,Iowa,Norovirus Genogroup II,,Confirmed,,27.0,1.0,0.0,lettuce based salads,,,,,,
110,2009.0,4.0,Oregon,,,,Restaurant - Sit-down dining,11.0,0.0,0.0,,,,,,,
111,2009.0,4.0,Connecticut,,,,Private home/residence,5.0,1.0,0.0,asparagus; horseradish,,,,,,
112,2009.0,4.0,Connecticut,Bacillus cereus,,Confirmed,School/college/university; Other (describe in remarks),47.0,0.0,0.0,macaroni and cheese,,,,,,
113,2009.0,5.0,Connecticut,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,13.0,0.0,0.0,filet mignon appetizer,,,,,,
114,2009.0,4.0,Wisconsin,Clostridium perfringens,,Confirmed,Restaurant - Sit-down dining,8.0,0.0,0.0,,,,,,,
115,2009.0,1.0,California,Norovirus unknown,,Suspected,,10.0,0.0,0.0,,,,,,,
116,2009.0,3.0,New York,Salmonella enterica,Saintpaul,Confirmed,Unknown,3.0,0.0,0.0,,,,,,,
117,2009.0,4.0,Wisconsin,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,14.0,2.0,0.0,deviled eggs,,,,,,
118,2009.0,2.0,Florida,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3.0,1.0,0.0,"salad, unspecified",,,,,,
119,2009.0,4.0,Pennsylvania,,,,,5.0,0.0,0.0,,,,,,,
120,2009.0,2.0,Florida,Norovirus,,Confirmed,Banquet Facility (food prepared and served on-site),30.0,0.0,0.0,vinagarette-based dressing,,,,,,
121,2009.0,5.0,Pennsylvania,Campylobacter jejuni,,Confirmed,Private home/residence,2.0,0.0,0.0,"milk, whole milk unpasteurized",,,,,,
122,2009.0,5.0,Illinois,,,,Caterer (food prepared off-site from where served),5.0,0.0,0.0,,,,,,,
123,2009.0,5.0,Illinois,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),39.0,0.0,0.0,,,,,,,
124,2009.0,5.0,Illinois,Norovirus Genogroup I,,Suspected,Private home/residence,32.0,0.0,0.0,,,,,,,
125,2009.0,5.0,Illinois,,,,Restaurant - other or unknown type,18.0,0.0,0.0,,,,,,,
126,2009.0,1.0,California,Norovirus unknown,,Confirmed,Restaurant - Sit-down dining,10.0,0.0,0.0,,,,,,,
127,2009.0,1.0,California,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,7.0,0.0,0.0,,,,,,,
128,2009.0,2.0,California,,,,Restaurant - Sit-down dining,4.0,0.0,0.0,spring roll,,,,,,
129,2009.0,5.0,Ohio,Mycotoxins,,Confirmed,,2.0,0.0,0.0,candy,,,,,,
130,2009.0,2.0,California,Norovirus unknown,,Suspected,,9.0,0.0,0.0,,,,,,,
131,2009.0,2.0,California,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4.0,0.0,0.0,,,,,,,
132,2009.0,2.0,California,,,,Restaurant - Sit-down dining,5.0,0.0,0.0,,,,,,,
133,2009.0,3.0,California,,,,,31.0,0.0,0.0,,,,,,,
134,2009.0,3.0,California,Bacillus cereus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store",7.0,0.0,0.0,bean dishes,,,,,,
135,2009.0,4.0,California,Other - Bacterium,,Suspected,,7.0,0.0,0.0,,,,,,,
136,2009.0,4.0,California,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",9.0,0.0,0.0,,,,,,,
137,2009.0,5.0,Ohio,Norovirus Genogroup II,GII_4 Minerva (2006),Confirmed,Restaurant - Sit-down dining,15.0,0.0,0.0,,,,,,,
138,2009.0,5.0,New York,Bacillus cereus,,Suspected,Banquet Facility (food prepared and served on-site),20.0,1.0,0.0,"chicken, chimichanga",chicken,,,,,
139,2009.0,5.0,Virginia,Staphylococcus aureus,,Confirmed,Private home/residence; Religious facility,19.0,0.0,0.0,egg salad/egg salad sandwich,,,,,,
140,2009.0,5.0,South Carolina,Clostridium perfringens,,Confirmed,Private home/residence,350.0,0.0,0.0,"beans, baked",,,,,,
141,2009.0,1.0,South Carolina,Norovirus Genogroup II,,Confirmed,,13.0,0.0,0.0,,,,,,,
142,2009.0,5.0,Arizona,Enterococcus faecalis,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",13.0,0.0,0.0,"sandwich, submarine",,,,,,
143,2009.0,5.0,Connecticut,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,2.0,0.0,0.0,,,,,,,
144,2009.0,6.0,Virginia,Staphylococcus aureus,,Suspected,Other (describe in remarks),12.0,0.0,0.0,"chicken, strips",,,,,,
145,2009.0,1.0,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,62.0,1.0,0.0,,,,,,,
146,2009.0,6.0,Minnesota,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,4.0,0.0,0.0,potato salad,,,,,,
147,2009.0,5.0,Wisconsin,,,,,49.0,,,,,,,,,
148,2009.0,6.0,Ohio,Campylobacter unknown,,Suspected,Restaurant - Sit-down dining,2.0,1.0,0.0,,,,,,,
149,2009.0,5.0,California,Norovirus unknown,,Suspected,Private home/residence,26.0,0.0,0.0,cactus salad; multiple foods,,,,,,
150,2009.0,6.0,Maryland,,,,Restaurant - Sit-down dining,3.0,0.0,0.0,chicken fried rice,,,,,,
151,2009.0,5.0,Wisconsin,"Escherichia coli, Enterotoxigenic",,Confirmed,,8.0,0.0,0.0,,,,,,,
152,2009.0,1.0,Maryland,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,12.0,0.0,0.0,,,,,,,
153,2009.0,4.0,Massachusetts,Salmonella enterica,Typhimurium,Confirmed,Private home/residence,50.0,,0.0,,,,,,,
154,2009.0,1.0,Maryland,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,13.0,0.0,0.0,,,,,,,
155,2009.0,4.0,California,Norovirus unknown,,Confirmed,,18.0,0.0,0.0,"egg-containing food, other",,,,,,
156,2009.0,5.0,Minnesota,Norovirus,,Suspected,Private home/residence,11.0,0.0,0.0,potato salad,,,,,,
157,2009.0,4.0,Maryland,,,,,7.0,0.0,0.0,,,,,,,
158,2009.0,4.0,Virginia,Brucella unknown,,Confirmed,Other (describe in remarks),4.0,1.0,0.0,goat cheese; cow cheese,,,,,,
159,2009.0,6.0,Tennessee,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,11.0,0.0,0.0,cheese dip,,,,,,
160,2009.0,4.0,Kansas,,,,Restaurant - Sit-down dining,4.0,0.0,0.0,pork,pork,,,,,
161,2009.0,6.0,Illinois,,,,Restaurant - Sit-down dining,3.0,0.0,0.0,,,,,,,
162,2009.0,6.0,Illinois,,,,Restaurant - Sit-down dining,2.0,0.0,0.0,,,,,,,
163,2009.0,6.0,Illinois,Norovirus Genogroup I,,Suspected,Other (describe in remarks),25.0,1.0,0.0,,,,,,,
164,2009.0,6.0,Illinois,,,,Restaurant - other or unknown type,3.0,0.0,0.0,,,,,,,
165,2009.0,6.0,Illinois,,,,Caterer (food prepared off-site from where served),43.0,0.0,0.0,,,,,,,
166,2009.0,6.0,Illinois,,,,Caterer (food prepared off-site from where served),35.0,0.0,0.0,roast beef,,,,,,
167,2009.0,6.0,New York,Campylobacter jejuni,,Confirmed,Other (describe in remarks),9.0,0.0,0.0,,,,,,,
168,2009.0,5.0,Colorado,,,,Restaurant - Sit-down dining,5.0,0.0,0.0,,,,,,,
169,2009.0,2.0,Washington,Norovirus,,Suspected,,13.0,3.0,0.0,"salad, unspecified",,,,,,
170,2009.0,3.0,Ohio,Norovirus Genogroup II,,Confirmed,,19.0,0.0,0.0,,,,,,,
171,2009.0,2.0,Ohio,Norovirus Genogroup II,,Suspected,Other (describe in remarks),5.0,0.0,0.0,salad bar; pasta salad with tuna and mayonnaise,,,,,,
172,2009.0,6.0,Connecticut,Bacillus cereus,,Confirmed,Caterer (food prepared off-site from where served),100.0,0.0,0.0,macaroni and cheese,,,,,,
173,2009.0,6.0,Connecticut,Norovirus,,Suspected,Other (describe in remarks),10.0,0.0,0.0,"orange juice, pasteurized",,,,,,
174,2009.0,6.0,Connecticut,Scombroid toxin,,Confirmed,Private home/residence,2.0,0.0,0.0,tuna steak,tuna steak,,,,,
175,2009.0,6.0,Massachusetts,Campylobacter jejuni,,Confirmed,,70.0,2.0,0.0,,,,,,,
176,2009.0,6.0,Minnesota,Clostridium perfringens,,Confirmed,Private home/residence; Caterer (food prepared off-site from where served),18.0,0.0,0.0,"roast beef, unspecified",,,,,,
177,2009.0,6.0,Minnesota,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,2.0,1.0,0.0,steak,,,,,,
178,2009.0,2.0,Georgia,Norovirus Genogroup II,,Suspected,Banquet Facility (food prepared and served on-site),8.0,0.0,0.0,,,,,,,
179,2009.0,5.0,New York,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,19.0,2.0,0.0,malai kofta,,,,,,
180,2009.0,6.0,Missouri,,,,Restaurant - Sit-down dining,11.0,0.0,0.0,,,,,,,
181,2009.0,5.0,Missouri,Salmonella enterica,Oranienburg,Confirmed,Private home/residence,5.0,1.0,0.0,,,,,,,
182,2009.0,5.0,California,Norovirus unknown,,Suspected,Restaurant - other or unknown type,10.0,0.0,0.0,,,,,,,
183,2009.0,4.0,California,Other - Chemical/Toxin,,Confirmed,"Fair, festival, other temp or mobile services",6.0,0.0,0.0,"cake, brownie",,,,,,
184,2009.0,1.0,Ohio,,,,Restaurant - Sit-down dining,2.0,0.0,0.0,,,,,,,
185,2009.0,6.0,New Mexico,Salmonella enterica,Enteritidis,Confirmed,,3.0,0.0,0.0,,,,,,,
186,2009.0,2.0,Ohio,,,,Restaurant - Sit-down dining,2.0,0.0,0.0,,,,,,,
187,2009.0,1.0,Ohio,,,,Restaurant - other or unknown type,2.0,0.0,0.0,,,,,,,
188,2009.0,6.0,Ohio,,,,Unknown,15.0,0.0,0.0,,,,,,,
189,2009.0,6.0,Minnesota,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Caterer (food prepared off-site from where served); Grocery store,16.0,3.0,0.0,,,,,,,
190,2009.0,1.0,Ohio,,,,Restaurant - Sit-down dining,4.0,0.0,0.0,,,,,,,
191,2009.0,6.0,Ohio,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,Private home/residence,2.0,2.0,0.0,"ground beef, hamburger",,,,,,
192,2009.0,3.0,Ohio,,,,Restaurant - Sit-down dining,4.0,2.0,0.0,"pizza, meat; pizza, meat; cheesy bread stick",,,,,,
193,2009.0,5.0,Florida,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,30.0,0.0,0.0,,,,,,,
194,2009.0,1.0,Florida,Norovirus Genogroup II,,Confirmed,,24.0,0.0,0.0,,,,,,,
195,2009.0,5.0,Oklahoma,Staphylococcus aureus,,Confirmed,,39.0,0.0,0.0,chicken salad,,,,,,
196,2009.0,6.0,Tennessee,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",6.0,0.0,0.0,"sandwich, roast beef",,,,,,
197,2009.0,1.0,Ohio,Norovirus Genogroup II,GII_12,Confirmed,Caterer (food prepared off-site from where served),22.0,0.0,0.0,"sandwich, deli",,,,,,
198,2009.0,5.0,California,Norovirus,,Confirmed,,14.0,0.0,0.0,,,,,,,
199,2009.0,5.0,California,Bacillus cereus,,Suspected,Restaurant - Sit-down dining,4.0,0.0,0.0,,,,,,,
200,2009.0,5.0,California,,,,Restaurant - other or unknown type,21.0,0.0,0.0,,,,,,,
201,2009.0,1.0,Florida,Ciguatoxin,,Confirmed,Private home/residence,3.0,,,"fish, baracuda",,,,,,
202,2009.0,1.0,Florida,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,3.0,,,"squid/calamari, unspecified",,,,,,
203,2009.0,7.0,Missouri,,,,Other (describe in remarks),25.0,0.0,0.0,"onion, unspecified",,,,,,
204,2009.0,3.0,Ohio,,,,,2.0,0.0,0.0,,,,,,,
205,2009.0,6.0,Florida,Ciguatoxin,,Confirmed,Restaurant - Sit-down dining,5.0,,,"fish, grouper",,,,,,
206,2009.0,6.0,Florida,Ciguatoxin,,Confirmed,Private home/residence,4.0,,,"fish, baracuda",,,,,,
207,2009.0,6.0,Florida,Ciguatoxin,,Confirmed,Private home/residence,2.0,,,"fish, baracuda",,,,,,
208,2009.0,4.0,Michigan,,,,Caterer (food prepared off-site from where served),13.0,0.0,0.0,"chicken, unspecified; macaroni and cheese; turkey dishes","cream sauce; cheese, unspecified",,,,,
209,2009.0,3.0,Michigan,,,,,9.0,,0.0,,,,,,,
210,2009.0,4.0,Michigan,,,,Restaurant - other or unknown type,2.0,,0.0,,,,,,,
